CD_CID,DS_CID,DT_EXCL,ID_ORIGEM
D50,ANEMIA POR DEFICIENCIA DE FERRO E SUBTÍTULOS                                                        ,,
D500,ANEMIA POR DEFICIENCIA DE FERRO SECUNDARIA A PERDA DE SANGUE (CRONICA)                              ,,
D501,DISFAGIA SIDEROPENICA                                                                               ,,
D508,OUTRAS ANEMIAS POR DEFICIENCIA DE FERRO                                                             ,,
D509,ANEMIA POR DEFICIENCIA DE FERRO NAO ESPECIFICADA                                                    ,,
D51,ANEMIA POR DEFICIENCIA DE VITAMINA B12 E SUBTÍTULOS                                                 ,,
D510,ANEMIA POR DEFICIENCIA DE VITAMINA B12 DEVIDA A DEFICIENCIA DE FATOR INTRINSECO                     ,,
D511,ANEMIA POR DEFICIENCIA DE VITAMINA B12 DEVIDA A MA-ABSORCAO SELETIVA DE VITAMINA B12 COM PROTEINURIA,,
D512,DEFICIENCIA DE TRANSCOBALAMINA II                                                                   ,,
D513,OUTRAS ANEMIAS POR DEFICIENCIA DE VITAMINA B12 NA DIETA                                             ,,
D518,OUTRAS ANEMIAS POR DEFICIENCIA DE VITAMINA B12                                                      ,,
D519,ANEMIA POR DEFICIENCIA DE VITAMINA B12 NAO ESPECIFICADA                                             ,,
D52,ANEMIA POR DEFICIENCIA DE FOLATO E SUBTÍTULOS                                                       ,,
D520,ANEMIA POR DEFICIENCIA DE FOLATO NA DIETA                                                           ,,
D521,ANEMIA POR DEFICIENCIA DE FOLATO INDUZIDA POR DROGAS                                                ,,
D528,OUTRAS ANEMIAS POR DEFICIENCIA DE FOLATO                                                            ,,
D529,ANEMIA POR DEFICIENCIA DE FOLATO NAO ESPECIFICADA                                                   ,,
D53,OUTRAS ANEMIAS NUTRICIONAIS E SUBTÍTULOS                                                            ,,
D530,ANEMIA POR DEFICIENCIA DE PROTEINAS                                                                 ,,
D531,OUTRAS ANEMIAS MEGALOBLASTICAS NAO CLASSIFICADAS EM OUTRAS PARTES                                   ,,
D532,ANEMIA ESCORBUTICA                                                                                  ,,
D538,OUTRAS ANEMIAS NUTRICIONAIS ESPECIFICADAS                                                           ,,
D539,ANEMIA NUTRICIONAL NAO ESPECIFICADA                                                                 ,,
D55,ANEMIA DEVIDA A TRANSTORNOS ENZIMATICOS E SUBTÍTULOS                                                ,,
D550,ANEMIA DEVIDA A DEFICIENCIA DE GLICOSE-6-FOSFATO-DESIDROGENASE [G-6-PD],,
D551,ANEMIA DEVIDA A OUTROS TRANSTORNOS DO METABOLISMO DO GLUTATION                                      ,,
D552,ANEMIA DEVIDA A TRANSTORNOS DAS ENZIMAS GLICOLITICAS                                                ,,
D553,ANEMIA DEVIDA A TRANSTORNOS DO METABOLISMO DE NUCLEOTIDIOS                                          ,,
D558,OUTRAS ANEMIAS DEVIDAS A TRANSTORNOS ENZIMATICOS                                                    ,,
D559,ANEMIA DEVIDA A TRANSTORNO ENZIMATICO NAO ESPECIFICADA                                              ,,
D56,TALASSEMIA E SUBTÍTULOS                                                                             ,,
D560,TALASSEMIA ALFA                                                                                     ,,
D561,TALASSEMIA BETA                                                                                     ,,
D562,TALASSEMIA DELTA-BETA                                                                               ,,
D563,ESTIGMA TALASSEMICO                                                                                 ,,
D564,PERSISTENCIA HEREDITARIA DE HEMOGLOBINA FETAL                                                       ,,
D568,OUTRAS TALASSEMIAS                                                                                  ,,
D569,TALASSEMIA NAO ESPECIFICADA                                                                         ,,
D57,TRANSTORNOS FALCIFORMES E SUBTÍTULOS                                                                ,,
D570,ANEMIA FALCIFORME COM CRISE                                                                         ,,
D571,ANEMIA FALCIFORME SEM CRISE                                                                         ,,
D572,TRANSTORNOS FALCIFORMES HETEROZIGOTICOS DUPLOS                                                      ,,
D573,ESTIGMA FALCIFORME                                                                                  ,,
D578,OUTROS TRANSTORNOS FALCIFORMES                                                                      ,,
D58,OUTRAS ANEMIAS HEMOLITICAS HEREDITARIAS E SUBTÍTULOS                                                ,,
D580,ESFEROCITOSE HEREDITARIA                                                                            ,,
D581,ELIPTOCITOSE HEREDITARIA                                                                            ,,
D582,OUTRAS HEMOGLOBINOPATIAS                                                                            ,,
D588,OUTRAS ANEMIAS HEMOLITICAS HEREDITARIAS ESPECIFICADAS                                               ,,
D589,ANEMIA HEMOLITICA HEREDITARIA NAO ESPECIFICADA                                                      ,,
D59,ANEMIA HEMOLITICA ADQUIRIDA E SUBTÍTULOS                                                            ,,
D590,ANEMIA HEMOLITICA AUTO-IMUNE INDUZIDA POR DROGA                                                     ,,
D591,OUTRAS ANEMIAS HEMOLITICAS AUTO-IMUNES                                                              ,,
D592,ANEMIA HEMOLITICA NAO-AUTO-IMUNE INDUZIDA POR DROGAS                                                ,,
D593,SINDROME HEMOLITICO-UREMICA                                                                         ,,
D594,OUTRAS ANEMIAS HEMOLITICAS NAO-AUTOIMUNES                                                           ,,
D595,HEMOGLOBINURIA PAROXISTICA NOTURNA [MARCHIAFAVA-MICHELI]                                            ,,
D596,HEMOGLOBINURIA DEVIDA A HEMOLISE POR OUTRAS CAUSAS EXTERNAS                                         ,,
D598,OUTRAS ANEMIAS HEMOLITICAS ADQUIRIDAS                                                               ,,
D599,ANEMIA HEMOLITICA ADQUIRIDA NAO ESPECIFICADA                                                        ,,
D60,APLASIA PURA DA SERIE VERMELHA, ADQUIRIDA [ERITROBLASTOPENIA] E SUBTÍTULOS                          ,,
D600,APLASIA PURA ADQUIRIDA CRONICA DA SERIE VERMELHA                                                    ,,
D601,APLASIA PURA ADQUIRIDA TRANSITORIA DA SERIE VERMELHA                                                ,,
D608,OUTRAS APLASIAS PURAS ADQUIRIDAS DA SERIE VERMELHA                                                  ,,
D609,APLASIA PURA ADQUIRIDA, NAO ESPECIFICADA, DA SERIE VERMELHA                                         ,,
H933,TRANSTORNOS DO NERVO ACUSTICO                                                                       ,,
H938,OUTROS TRANSTORNOS ESPECIFICADOS DO OUVIDO                                                          ,,
H939,TRANSTORNO NAO ESPECIFICADO DO OUVIDO                                                               ,,
H94,OUTROS TRANSTORNOS DO OUVIDO EM DOENCAS CLASSIFICADAS EM OUTRA PARTE E SUBTÍTULOS                   ,,
H940,NEURITE ACUSTICA EM DOENCAS INFECCIOSAS E PARASITARIAS CLASSIFICADAS EM OUTRA PARTE                 ,,
H948,OUTROS TRANSTORNOS ESPECIFICADOS DO OUVIDO EM DOENCAS CLASSIFICADAS EM OUTRA PARTE                  ,,
H95,TRANSTORNOS DO OUVIDO E DA APOFISE MASTOIDE POS-PROCEDIMENTOS, NAO CLASSIFICADOS EM OUTRA PARTE E SU,,
