CD_MUNIC,NM_MUNIC,SG_UF,ID_ORIGEM
1100023,ARIQUEMES,RO,1100023
1100049,CACOAL,RO,1100049
1100056,CEREJEIRAS,RO,1100056
1100064,COLORADO DO OESTE,RO,1100064
1100080,COSTA MARQUES,RO,1100080
1100106,GUAJARA MIRIM,RO,1100106
1100114,JARU,RO,1100114
1100122,JI PARANA,RO,1100122
1100155,OURO PRETO DO OESTE,RO,1100155
1100189,PIMENTA BUENO,RO,1100189
1100205,PORTO VELHO,RO,1100205
1100254,PRESIDENTE MEDICI,RO,1100254
1100288,ROLIM DE MOURA,RO,1100288
1100304,VILENA,RO,1100304
1200013,ACRELANDIA,AC,1200013
1200104,BRASILEIA,AC,1200104
1200401,RIO BRANCO,AC,1200401
1200427,RODRIGUES ALVES,AC,1200427
1200807,PORTO ACRE,AC,1200807
1239123,CIDADE CADASTRADA 2X,RJ,1239123
1300706,BOCA DO ACRE,AM,1300706
1300839,CAAPIRANGA,AM,1300839
1300904,CANUTAMA,AM,1300904
1301704,HUMAITA,AM,1301704
1301902,ITACOATIARA,AM,1301902
1302603,MANAUS,AM,1302603
1302900,MAUES,AM,1302900
1303403,PARINTINS,AM,1303403
1304203,TEFE,AM,1304203
1400100,BOA VISTA,RR,1400100
1400472,TERRITORIO DE RORAIMA,RR,1400472
1500107,ABAETETUBA,PA,1500107
1500404,ALENQUER,PA,1500404
1500503,ALMEIRIM,PA,1500503
1500602,ALTAMIRA,PA,1500602
1500800,ANANINDEUA,PA,1500800
1500909,AUGUSTO CORREA,PA,1500909
1501204,BAIAO,PA,1501204
1501303,BARCARENA,PA,1501303
1501402,BELEM,PA,1501402
1501501,BENEVIDES,PA,1501501
1501576,BOM JESUS DO TOCANTINS,PA,1501576
1501600,BONITO,PA,1501600
1501709,BRAGANCA,PA,1501709
1501758,BREJO GRANDE DO ARAGUAIA,PA,1501758
1501808,BREVES,PA,1501808
1502103,CAMETA,PA,1502103
1502152,CANAA DOS CARAJAS,PA,1502152
1502400,CASTANHAL,PA,1502400
1502707,CONCEICAO DO ARAGUAIA,PA,1502707
1502772,CURIONOPOLIS,PA,1502772
1502939,DOM ELISEU,PA,1502939
1502954,ELDORADO DOS CARAJAS,PA,1502954
1503309,IGARAPE MIRIN,PA,1503309
1503606,ITAITUBA,PA,1503606
1503705,ITUPIRANGA,PA,1503705
1504059,MAE DO RIO,PA,1504059
1504208,MARABA,PA,1504208
1504422,MARITUBA,PA,1504422
1504703,MOJU,PA,1504703
1505064,NOVO REPARTIMENTO,PA,1505064
1505437,OURILANDIA DO NORTE,PA,1505437
1505502,PARAGOMINAS,PA,1505502
1505536,CARAJAS,PA,1505536
1505536,PARAUAPEBAS,PA,1505536
1506138,REDENCAO,PA,1506138
1506161,RIO MARIA,PA,1506161
1506187,RONDON DO PARA,PA,1506187
1506203,SALINOPOLIS,PA,1506203
1506500,SANTA IZABEL,PA,1506500
1506583,SANTA MARIA DAS BARREIRAS,PA,1506583
1506609,SANTA MARIA DO PARA,PA,1506609
1506807,SANTAREM,PA,1506807
1507151,SAO DOMINGOS DO ARAGUAIA,PA,1507151
1507201,SAO DOMINGOS DO CAPIM,PA,1507201
1507458,SAO GERALDO DO ARAGUAIA,PA,1507458
1507508,SAO JOAO DO ARAGUAIA,PA,1507508
1507607,SAO MIGUEL DO GUAMA,PA,1507607
1507953,TAILANDIA,PA,1507953
1508001,TOME-ACU,PA,1508001
1508084,TUCUMA,PA,1508084
1508100,TUCURUI,PA,1508100
1508126,ULIANOPOLIS,PA,1508126
1508209,VIGIA,PA,1508209
1508407,XINGUARA,PA,1508407
1600105,AMAPA,AP,1600105
1600105,TERRITORIO DO AMAPA,AP,1600105
1600303,MACAPA,AP,1600303
1600600,SANTANA,AP,1600600
1700707,ALVORADA,TO,1700707
1701903,ARAGUACEMA,TO,1701903
1702000,ARAGUACU,TO,1702000
1702109,ARAGUAINA,TO,1702109
1702158,ARAGUANA,TO,1702158
1702208,ARAGUATINS,TO,1702208
1702554,AUGUSTINOPOLIS,TO,1702554
1703800,BURITI DO TOCANTINS,TO,1703800
1705508,COLINAS DO TOCANTINS,TO,1705508
1707009,DIANOPOLIS,TO,1707009
1707652,FIGUEIROPOLIS,TO,1707652
1708205,FORMOSO DO ARAGUAIA,TO,1708205
1709005,GOIATINS,TO,1709005
1709302,GUARAI,TO,1709302
1709500,GURUPI,TO,1709500
1711506,JAU DO TOCANTINS,TO,1711506
1714203,NATIVIDADE,TO,1714203
1715101,NOVO ACORDO,TO,1715101
1716109,PARAISO DO TOCANTINS,TO,1716109
1716604,PEIXE,TO,1716604
1717503,PIUM,TO,1717503
1717909,PONTE ALTA DO TOCANTINS,TO,1717909
1718204,PORTO NACIONAL,TO,1718204
1718550,RIACHINHO,TO,1718550
1718758,RIO SONO,TO,1718758
1720655,SILVANOPOLIS,TO,1720655
1720903,TAGUATINGA,TO,1720903
1721000,PALMAS,TO,1721000
1722081,WANDERLANDIA,TO,1722081
1722107,XAMBIOA,TO,1722107
2100055,ACAILANDIA,MA,2100055
2100501,ALTO PARNAIBA,MA,2100501
2101004,ARARI,MA,2101004
2101202,BACABAL,MA,2101202
2101400,BALSAS,MA,2101400
2101608,BARRA DO CORDA,MA,2101608
2102002,BOM JARDIM,MA,2102002
2102101,BREJO,MA,2102101
2102200,BURITI,MA,2102200
2102325,BURITICUPU,MA,2102325
2102408,CAJAPIO,MA,2102408
2102903,CARUTAPERA,MA,2102903
2103000,CAXIAS,MA,2103000
2103158,CENTRO DO GUILHERME,MA,2103158
2103208,CHAPADINHA,MA,2103208
2103307,CODO,MA,2103307
2103406,COELHO NETO,MA,2103406
2103505,COLINAS,MA,2103505
2103604,COROATA,MA,2103604
2103802,DOM PEDRO,MA,2103802
2104008,ESPERANTINOPOLIS,MA,2104008
2104057,ESTREITO,MA,2104057
2104107,FORTALEZA DOS NOGUEIRAS,MA,2104107
2104404,GONCALVES DIAS,MA,2104404
2104503,GOVERNADOR ARCHER,MA,2104503
2105005,HUMBERTO DE CAMPOS,MA,2105005
2105302,IMPERATRIZ,MA,2105302
2105427,ITINGA DO MARANHAO,MA,2105427
2105500,JOAO LISBOA,MA,2105500
2105609,JOSELANDIA,MA,2105609
2105708,LAGO DA PEDRA,MA,2105708
2105807,LAGO DO JUNCO,MA,2105807
2105963,LAGOA GRANDE DO MARANHAO,MA,2105963
2106003,LIMA CAMPOS,MA,2106003
2106102,LORETO,MA,2106102
2106755,MIRANDA DO NORTE,MA,2106755
2107001,MONTES ALTOS,MA,2107001
2107407,OLHO D AGUA DAS CUNHAS,MA,2107407
2108108,PAULO RAMOS,MA,2108108
2108207,PEDREIRAS,MA,2108207
2108454,PERITORO,MA,2108454
2108603,PINHEIRO,MA,2108603
2108702,PIO XII,MA,2108702
2108801,PIRAPEMAS,MA,2108801
2108900,POCAO DE PEDRAS,MA,2108900
2109007,PORTO FRANCO,MA,2109007
2109106,PRESIDENTE DUTRA,MA,2109106
2109270,PRESIDENTE SARNEY,MA,2109270
2109601,ROSARIO,MA,2109601
2109809,SANTA HELENA,MA,2109809
2109908,SANTA INES,MA,2109908
2110104,SANTA QUITERIA DO MARANHAO,MA,2110104
2110203,SANTA RITA,MA,2110203
2110302,SANTO ANTONIO DOS LOPES,MA,2110302
2110500,SAO BENTO,MA,2110500
2110708,SAO DOMINGOS DO MARANHAO,MA,2110708
2111003,SAO JOAO BATISTA,MA,2111003
2111078,SAO JOAO DO SOTER,MA,2111078
2111300,SAO LUIS,MA,2111300
2111300,SAO LUIZ,MA,2111300
2111409,SAO LUIS GONZAGA DO MARANHAO,MA,2111409
2111508,SAO MATEUS DO MARANHAO,MA,2111508
2111672,SAO ROBERTO,MA,2111672
2111904,SUCUPIRA DO NORTE,MA,2111904
2112100,TIMBIRAS,MA,2112100
2112209,TIMON,MA,2112209
2112233,TRIZIDELA DO VALE,MA,2112233
2112407,TURIACU,MA,2112407
2112704,VARGEM GRANDE,BA,2112704
2112803,VIANA,MA,2112803
2112902,VITORIA DO MEARIM,MA,2112902
2113009,VITORINO FREIRE,MA,2113009
2200202,AGUA BRANCA,PI,2200202
2200277,ALEGRETE DO PIAUI,PI,2200277
2200509,AMARANTE,PI,2200509
2200608,ANGICAL DO PIAUI,PI,2200608
2201176,BARRA D ALCANTARA,PI,2201176
2201903,BOM JESUS,PI,2201903
2202208,CAMPO MIOR,PI,2202208
2202703,COCAL,PI,2202703
