CD_ITEM_PACOTE,CD_ITEM_PACOTE,CD_ITEM_PRINC,CD_ITEM_PRINC,ID_MOSTRA_SGUCARD,ID_ORIGEM
87000034,87000034,99999919,99999919,A,3376596
86000001,86000001,99999919,99999919,A,3376584
85003015,85003015,99999919,99999919,A,3375850
85002001,85002001,99999919,99999919,A,3375838
85003002,85003002,99999919,99999919,A,3375774
85003011,85003011,99999919,99999919,A,3342424
85002004,85002004,99999919,99999919,A,3342412
85002003,85002003,99999919,99999919,A,3342400
85002002,85002002,99999919,99999919,A,3342388
87000036,87000036,99999919,99999919,A,3342255
87000042,87000042,99999919,99999919,A,3342192
87000037,87000037,99999919,99999919,A,3341852
85009004,85009004,99999919,99999919,A,3341837
85009003,85009003,99999919,99999919,A,3341822
85003012,85003012,99999919,99999919,A,3341807
87000030,87000030,99999927,99999927,A,3341792
87000029,87000029,99999927,99999927,A,3341777
87000024,87000024,99999927,99999927,A,3341762
85003006,85003006,99999935,99999935,A,3341668
87000027,87000027,99999927,99999927,A,3341653
86000015,86000015,99999919,99999919,A,3341637
86000005,86000005,99999919,99999919,A,3341584
86000004,86000004,99999927,99999927,A,3341570
87000039,87000039,99999919,99999919,A,3341535
87000038,87000038,99999919,99999919,A,3341520
87000035,87000035,99999919,99999919,A,3341505
87000033,87000033,99999919,99999919,A,3341490
87000032,87000032,99999919,99999919,A,3341475
87000031,87000031,99999919,99999919,A,3341430
85009002,85009002,99999919,99999919,A,3341415
85009001,85009001,99999919,99999919,A,3341400
85003013,85003013,99999919,99999919,A,3341385
85003010,85003010,99999919,99999919,A,3341370
85003009,85003009,99999919,99999919,A,3341355
85003007,85003007,99999919,99999919,A,3341340
85003008,85003008,99999919,99999919,A,3341325
86000014,86000014,99999919,99999919,A,3341262
86000013,86000013,99999919,99999919,A,3341247
86000012,86000012,99999919,99999919,A,3341232
86000011,86000011,99999919,99999919,A,3341217
86000010,86000010,99999919,99999919,A,3341202
86000009,86000009,99999919,99999919,A,3341181
86000008,86000008,99999919,99999919,A,3341166
86000007,86000007,99999919,99999919,A,3341151
86000006,86000006,99999919,99999919,A,3341136
86000003,86000003,99999919,99999919,A,3341048
86000002,86000002,99999919,99999919,A,3341033
85003016,85003016,99999919,99999919,A,3333749
85003014,85003014,00776874,00776874,A,3333748
85007007,85007007,99999919,99999919,A,3333742
85007006,85007006,99999919,99999919,A,3333739
85007004,85007004,99999919,99999919,A,3333736
85005003,85005003,99999927,99999927,A,3333734
85003005,85003005,00654205,00654205,A,3333729
85003003,85003003,99999919,99999919,A,3333715
85007008,85007008,99999919,99999919,A,3333712
85007005,85007005,99999919,99999919,A,3333709
85007003,85007003,99999935,99999935,A,3333708
85007002,85007002,99999919,99999919,A,3333703
85007001,85007001,99999919,99999919,A,3333700
85005002,85005002,99999927,99999927,A,3333698
85005001,85005001,99999927,99999927,A,3333695
88000009,88000009,99999919,99999919,A,3333690
88000008,88000008,99999919,99999919,A,3333676
88000007,88000007,99999919,99999919,A,3333662
88000006,88000006,99999919,99999919,A,3333649
88000011,88000011,89999932,89999932,A,3333638
88000004,88000004,40402029,40402029,A,3333621
88000003,88000003,99999919,99999919,A,3333598
88000002,88000002,99999919,99999919,A,3333593
88000001,88000001,99999919,99999919,A,3333552
87000004,87000004,99999927,99999927,A,3333541
87000006,87000006,99999919,99999919,A,3333537
87000005,87000005,99999927,99999927,A,3333535
87000003,87000003,99999927,99999927,A,3333532
87000001,87000001,99999927,99999927,A,3333529
87000023,87000023,99999935,99999935,A,3333527
87000017,87000017,99999935,99999935,A,3333524
87000016,87000016,99999935,99999935,A,3333521
87000015,87000015,99999935,99999935,A,3333518
87000014,87000014,99999919,99999919,A,3333513
87000013,87000013,99999919,99999919,A,3333510
87000012,87000012,99999919,99999919,A,3333507
87000019,87000019,99999919,99999919,A,3333504
87000018,87000018,99999919,99999919,A,3333501
87000022,87000022,99999919,99999919,A,3333498
87000021,87000021,99999927,99999927,A,3333496
87000020,87000020,99999919,99999919,A,3333492
85004004,85004004,99999919,99999919,A,3333484
85004003,85004003,71003770,71003770,A,3333480
85004002,85004002,99999919,99999919,A,3333464
85004001,85004001,99999919,99999919,A,3333456
85003001,85003001,99999919,99999919,A,3333446
