SG_REDE,DS_REDE,ID_ORIGEM
NA001,Rede basica,1
NA002,Rede especial,2
NA04,AMB-ENF-BASICO,3
NA05,AMB-APT-BASICO,4
NA06,AMB-ENF-ESPECIAL,5
NA07,AMB-APT-ESPECIAL,6
NA08,AMB-APT-MASTER,7
NA09,AMB-BASICO,8
NA10,AMB-ESPECIAL,9
NA11,AMB-MASTER,10
NA12,ENF-BASICO,11
NA13,APT-BASICO,12
NA14,ENF-ESPECIAL,13
NA15,APT-ESPECIAL,14
NA16,APT-MASTER,15
ES04,AMB-ENF-BASICO,16
ES05,AMB-APT-BASICO,17
ES06,AMB-ENF-ESPECIAL,18
ES07,AMB-APT-ESPECIAL,19
ES08,AMB-APT-MASTER,20
ES09,AMB-BASICO,21
ES10,AMB-ESPECIAL,22
ES11,AMB-MASTER,23
ES12,ENF-BASICO,24
ES13,APT-BASICO,25
ES14,ENF-ESPECIAL,26
ES15,APT-ESPECIAL,27
ES16,APT-MASTER,28
RB04,AMB-ENF-BASICO,29
RB05,AMB-APT-BASICO,30
RB06,AMB-ENF-ESPECIAL,31
RB07,AMB-APT-ESPECIAL,32
RB08,AMB-APT-MASTER,33
RB09,AMB-BASICO,34
RB10,AMB-ESPECIAL,35
RB11,AMB-MASTER,36
RB12,ENF-BASICO,37
RB13,APT-BASICO,38
RB14,ENF-ESPECIAL,39
RB15,APT-ESPECIAL,40
RB16,APT-MASTER,41
MU04,AMB-ENF-BASICO,42
MU05,AMB-APT-BASICO,43
MU06,AMB-ENF-ESPECIAL,44
MU07,AMB-APT-ESPECIAL,45
MU08,AMB-APT-MASTER,46
MU09,AMB-BASICO,47
MU10,AMB-ESPECIAL,48
MU11,AMB-MASTER,49
MU12,ENF-BASICO,50
MU13,APT-BASICO,51
MU14,ENF-ESPECIAL,52
MU15,APT-ESPECIAL,53
MU16,APT=MASTER,54
RA04,AMB-ENF-BASICO,55
RA50,AMB-ENF-BASICO,56
RB09,AMB-BASICO CEMIG,57
