CD_CONTRATO_VENDA,CD_PLANO,DT_SUSPENSAO,DT_EXCLUSAO,FG_FATURA_INTERNACAO,CD_PESSOA_EMPRESA,CD_UNIMED,DT_INI_VIGENCIA,CD_TAB_PRECO,CD_CATEG,FG_EXIBE_PESQ_MANUAL,FG_BENEF_CARTAO_UNICO,FG_ENVIA_DADOS_ANS,TP_ACOMOD_INTERN_PADRAO,DT_ADAPTACAO,FG_PLAC,CD_CONTRATANTE_AGRUPADOR,NM_CONTRATANTE_AGRUPADOR,DS_CONVENIO,DS_MOTIVO_SUSP_UN,IND_CO_PARTICIPACAO,TP_REMISSAO,ID_ORIGEM
1640033002,1004,,,N,429319,164,30/03/1990,4833,,S,S,S,01,,N,31,CUSTO OPERACIONAL  A.F.C.B.M,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,5200
1640037001,1640037A,,,N,429319,164,03/07/2006,4859,,S,S,S,02,,N,31,CUSTO OPERACIONAL  A.F.C.B.M,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,5204
1640378001,1640378A,,,N,429373,164,16/04/2004,5243,,S,S,S,02,,N,31,CUSTO OPERACIONAL  A.F.C.B.M,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,5401
1641002001,1641002ADAP,,,N,426926,164,28/02/1996,13254,,S,S,S,01,,N,1,PRE-PAGAMENTO ,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,5484
1641008002,1641008N,,,N,427101,164,20/07/1995,7469,,S,S,S,01,,N,1,PRE-PAGAMENTO ,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,5491
1641010002,1641010K,,,N,427103,164,27/08/1996,5671,,S,S,S,01,,N,1,PRE-PAGAMENTO ,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,0,0,5493
1641215001,1641215D3,,,N,427205,164,19/09/2003,5453,,S,S,S,01,,N,1,PRE-PAGAMENTO ,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,1,0,5521
1642243001,1642243D5,,,N,429171,164,09/05/2005,5496,,S,S,S,01,,N,1,PRE-PAGAMENTO ,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,1,0,5555
1642301001,1642301D7,,,N,429013,164,11/06/2007,5527,,S,S,S,01,,N,1,PRE-PAGAMENTO ,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,1,0,5586
1642331001,16423318C,,,N,429107,164,14/04/2008,5544,,S,S,S,02,,N,1,PRE-PAGAMENTO ,UNIMED ARAXA COOPERATIVA DE TRABALHO MEDICO LTDA,,1,0,5605
