CD_CONTRATO_VENDA;CD_EMPRESA;CD_PESSOA;ID_ORIGEM
1640027001;1640027001;429241;5198
1640033001;1640033001;429319;5200
1640033002;1640033002;429319;5200
1640034001;1640034001;429319;5201
1640034002;1640034002;429319;5201
1640036001;1640036001;429354;5203
1640037001;1640037001;429319;5204
1640136001;1640136001;427335;20721
1640136002;1640136002;427335;20721
1640163001;1640163001;428570;5260
1640163002;1640163002;428570;5260
1640163003;1640163003;428570;5260
1640163004;1640163004;428570;5260
1640163005;1640163005;428570;5260
1640163006;1640163006;428570;5260
1640163007;1640163007;428570;5260
1640378001;1640378001;429373;5401
1640384001;1640384001;429379;5407
1640990001;1640990001;426603;5482
1640990002;1640990002;426603;5482
1640990003;1640990003;426603;5482
1640990004;1640990004;426603;5482
1640990005;1640990005;426603;5482
1640990006;1640990006;426603;5482
1641002001;1641002001;426926;5484
1641006001;1641006001;427087;5488
1641006002;1641006002;427087;5488
1641008001;1641008001;427101;5491
1641008002;1641008002;427101;5491
1641009001;1641009001;427102;5492
1641009002;1641009002;427102;5492
1641010001;1641010001;427103;5493
1641010002;1641010002;427103;5493
1641010003;1641010003;427103;5493
1641010004;1641010004;427103;5493
1641112001;1641112001;591132;12244
1641116001;1641116001;429286;21008
1641141001;1641141001;825690;20914
1641153001;1641153001;635611;14013
1641154001;1641154001;641168;14216
1641157001;1641157001;567221;15096
1641158001;1641158001;429322;15171
1641160001;1641160001;429493;15176
1641161001;1641161001;672368;15182
1641162001;1641162001;427087;15188
1641165001;1641165001;429186;15213
1641167001;1641167001;429331;15222
1641168001;1641168001;429405;15223
1641169001;1641169001;429469;15224
1641171001;1641171001;429445;15242
1641175001;1641175001;429326;15268
1641175002;1641175002;429326;15268
1641175003;1641175003;429326;15268
1641177001;1641177001;676115;15296
1641181001;1641181001;429472;15463
1641181002;1641181002;429472;15463
1641182001;1641182001;682014;15520
1641189001;1641189001;776859;19733
1641213001;1641213001;427204;5519
1641215001;1641215001;427205;5521
1641502001;1641502001;427605;5527
1641574001;1641574001;427114;5538
1641575001;1641575001;429501;11112
1641576001;1641576001;430491;12608
1642201001;1642201001;577585;11790
1642202001;1642202001;578112;11802
1642204001;1642204001;578199;11811
1642205001;1642205001;578224;11812
1642206001;1642206001;578270;11816
1642212001;1642212001;578296;11818
1642214001;1642214001;429378;11858
1642219001;1642219001;429155;5548
1642223001;1642223001;579741;11895
1642224001;1642224001;579713;11893
1642231001;1642231001;580783;11926
1642235001;1642235001;581073;11938
1642238001;1642238001;581080;11939
1642241001;1642241001;576973;11954
1642243001;1642243001;429171;5555
1642244001;1642244001;581953;11972
1642248001;1642248001;582507;11982
1642256001;1642256001;429178;5564
1642257001;1642257001;582877;11996
1642260001;1642260001;583100;12009
1642268001;1642268001;583837;12021
1642270001;1642270001;583817;12020
1642273001;1642273001;583953;12022
1642277001;1642277001;584420;12049
1642278001;1642278001;585219;12063
1642290001;1642290001;585850;12086
1642292001;1642292001;429154;5581
1642293001;1642293001;586020;12091
1642296001;1642296001;429194;5583
1642299001;1642299001;586073;12093
1642300001;1642300001;577673;11796
1642301001;1642301001;429013;5586
1642302001;1642302001;429014;5587
1642305001;1642305001;573853;11627
1642309001;1642309001;573988;11632
1642314001;1642314001;573991;11633
1642316001;1642316001;574490;11658
1642319001;1642319001;567088;11659
1642320001;1642320001;575026;11676
1642321001;1642321001;429197;5598
1642322001;1642322001;575205;11680
1642324001;1642324001;427104;5600
1642325001;1642325001;575248;11685
1642326001;1642326001;575503;11704
1642331001;1642331001;429107;5605
1642336001;1642336001;492746;10289
1642337001;1642337001;492753;10290
1642338001;1642338001;429445;11708
1642341001;1642341001;523327;10457
1642344001;1642344001;576639;11733
1642345001;1642345001;576643;11734
1642350001;1642350001;429107;5610
1642352001;1642352001;429112;5612
1642354001;1642354001;430226;10271
1642363001;1642363001;524383;10471
1642364001;1642364001;427115;10631
1642365001;1642365001;532105;10557
1642372001;1642372001;520937;10442
1642374001;1642374001;520939;10443
1642375001;1642375001;577152;11762
1642376001;1642376001;428182;10474
1642378001;1642378001;529860;10521
1642379001;1642379001;576730;11742
1642383001;1642383001;576952;11747
1642384001;1642384001;576973;11749
1642385001;1642385001;576960;11748
1642387001;1642387001;577056;11754
1642390001;1642390001;577304;11768
1642392001;1642392001;429287;11798
1642393001;1642393001;533421;10591
1642395001;1642395001;429117;10593
1642396001;1642396001;740318;10606
1642399001;1642399001;577613;11794
1642402001;1642402001;536288;10643
1642404001;1642404001;535565;10625
1642407001;1642407001;427635;10718
1642409001;1642409001;538667;10692
1642410001;1642410001;537991;10675
1642414001;1642414001;538042;10678
1642416001;1642416001;755408;10757
1642417001;1642417001;541743;10736
1642419001;1642419001;539215;10698
1642421001;1642421001;539689;10708
1642430001;1642430001;547609;10886
1642431001;1642431001;548170;10918
1642433001;1642433001;549724;10935
1642435001;1642435001;552536;10974
1642441001;1642441001;559721;11103
1642444001;1642444001;562949;11192
1642452001;1642452001;564774;11275
1642460001;1642460001;567971;11389
1642464001;1642464001;568141;11394
1642467001;1642467001;569066;11431
1642471001;1642471001;570000;11457
1642472001;1642472001;569997;11456
1642473001;1642473001;570906;11490
1642477001;1642477001;571515;11531
1642478001;1642478001;571655;11533
1642479001;1642479001;571654;11532
1642481001;1642481001;571918;11555
1642483001;1642483001;571960;11560
1642485001;1642485001;572175;11563
1642486001;1642486001;572185;11564
1642487001;1642487001;572615;11571
1642488001;1642488001;572709;11578
1642489001;1642489001;572765;11579
1642492001;1642492001;573080;11596
1642493001;1642493001;573083;11597
1642494001;1642494001;573090;11598
1642495001;1642495001;573117;11599
1642496001;1642496001;573454;11613
1642497001;1642497001;573535;11618
1642499001;1642499001;573542;11619
1642601001;1642601001;586423;12105
1642602001;1642602001;586426;12106
1642603001;1642603001;586460;12107
1642604001;1642604001;586471;12108
1642605001;1642605001;586479;12109
1642606001;1642606001;586823;12126
1642607001;1642607001;587547;12135
1642611001;1642611001;587917;12151
1642614001;1642614001;588163;12166
1642615001;1642615001;588516;12175
1642616001;1642616001;589570;12190
1642620001;1642620001;590657;12222
1642621001;1642621001;429327;12223
1642622001;1642622001;429327;12224
1642623001;1642623001;590956;12239
1642625001;1642625001;591147;12245
1642627001;1642627001;592071;12268
1642632001;1642632001;545075;12287
1642633001;1642633001;593005;12291
1642636001;1642636001;430553;12333
1642637001;1642637001;594328;12334
1642638001;1642638001;594345;12335
1642639001;1642639001;430553;12336
1642640001;1642640001;427101;12344
1642641001;1642641001;427101;12345
1642643001;1642643001;594641;12347
1642644001;1642644001;427118;12373
1642645001;1642645001;596343;12407
1642646001;1642646001;430554;12405
1642647001;1642647001;596341;12406
1642649001;1642649001;596745;12421
1642654001;1642654001;429369;12451
1642657001;1642657001;430218;12469
1642658001;1642658001;598161;12468
1642659001;1642659001;598243;12475
1642661001;1642661001;430218;12487
1642662001;1642662001;429244;12509
1642663001;1642663001;598974;12510
1642664001;1642664001;599030;12511
1642665001;1642665001;599654;12535
1642666001;1642666001;599663;12536
1642668001;1642668001;599678;12538
1642669001;1642669001;599698;12539
1642674001;1642674001;599783;12546
1642674002;1642674002;599783;12546
1642676001;1642676001;600134;12566
1642678001;1642678001;600936;12584
1642680001;1642680001;429181;12587
1642681001;1642681001;429117;12588
1642682001;1642682001;429191;12598
1642683001;1642683001;601645;12633
1642684001;1642684001;602303;12643
1642685001;1642685001;602960;12673
1642686001;1642686001;604016;12706
1642687001;1642687001;604030;12707
1642689001;1642689001;604071;12710
1642691001;1642691001;604239;12720
1642693001;1642693001;604374;12727
1642694001;1642694001;428572;12728
1642700001;1642700001;605379;12765
1642701001;1642701001;430488;12772
1642702001;1642702001;429197;12773
1642703001;1642703001;427108;12775
1642704001;1642704001;593761;12776
1642705001;1642705001;605614;12777
1642707001;1642707001;605635;12779
1642709001;1642709001;605733;12788
1642710001;1642710001;605739;12789
1642713001;1642713001;606058;12804
1642717001;1642717001;427105;12816
1642717002;1642717002;427105;12816
1642718001;1642718001;607223;12839
1642722001;1642722001;774915;12879
1642724001;1642724001;608445;12907
1642726001;1642726001;608560;12911
1642728001;1642728001;608683;12918
1642730001;1642730001;608703;12920
1642733001;1642733001;609143;12955
1642734001;1642734001;609203;12964
1642735001;1642735001;609329;12975
1642736001;1642736001;609842;12998
1642738001;1642738001;609897;13000
1642740001;1642740001;610397;13019
1642744001;1642744001;429443;13042
1642745001;1642745001;611247;13052
1642747001;1642747001;611289;13054
1642748001;1642748001;611969;13075
1642749001;1642749001;612035;13076
1642753001;1642753001;612866;13099
1642757001;1642757001;613384;13127
1642758001;1642758001;613445;13130
1642759001;1642759001;613462;13134
1642760001;1642760001;614724;13174
1642769001;1642769001;618043;13286
1642770001;1642770001;618045;13287
1642772001;1642772001;429362;13290
1642773001;1642773001;618213;13294
1642774001;1642774001;618364;13296
1642776001;1642776001;427107;13324
1642782001;1642782001;619856;13361
1642782002;1642782002;619856;13361
1642783001;1642783001;620217;13365
1642784001;1642784001;620240;13366
1642785001;1642785001;620747;13378
1642788001;1642788001;621705;13412
1642790001;1642790001;622085;13437
1642792001;1642792001;622139;13443
1642793001;1642793001;622560;13455
1642794001;1642794001;623043;13476
1642796001;1642796001;623682;13508
1642797001;1642797001;623687;13509
1642803001;1642803001;624767;13540
1642804001;1642804001;624789;13542
1642805001;1642805001;624982;13558
1642809001;1642809001;626118;13597
1642810001;1642810001;626131;13598
1642814001;1642814001;628695;13695
1642816001;1642816001;629003;13701
1642818001;1642818001;629351;13721
1642825001;1642825001;630123;13748
1642834001;1642834001;631516;13804
1642835001;1642835001;826939;13805
1642838001;1642838001;632129;13826
1642842001;1642842001;632671;13860
1642843001;1642843001;632681;13861
1642849001;1642849001;634642;13935
1642851001;1642851001;635091;13954
1642853001;1642853001;635600;13977
1642854001;1642854001;635611;13978
1642855001;1642855001;635633;13980
1642856001;1642856001;429008;14026
1642860001;1642860001;637084;14048
1642863001;1642863001;638025;14085
1642864001;1642864001;429008;14086
1642866001;1642866001;638360;14106
1642872001;1642872001;641222;14217
1642873001;1642873001;641347;14228
1642874001;1642874001;641707;14248
1642875001;1642875001;641708;14249
1642877001;1642877001;427178;14256
1642878001;1642878001;744470;14257
1642880001;1642880001;642720;14273
1642882001;1642882001;642968;14282
1642884001;1642884001;643421;14309
1642884002;1642884002;643421;14309
1642885001;1642885001;426989;14316
1642890001;1642890001;644435;14329
1642893001;1642893001;429371;14335
1642894001;1642894001;429368;14336
1642895001;1642895001;429368;14337
