CD_EMPRESA,CD_AGRUPAMENTO,NM_AGRUPAMENTO,ID_ORIGEM
1640027001,607,CUSTO OPERACIONAL  A.F.C.B.M,607
1640033002,607,CUSTO OPERACIONAL  A.F.C.B.M,607
1640034002,607,CUSTO OPERACIONAL  A.F.C.B.M,607
1640036001,607,CUSTO OPERACIONAL  A.F.C.B.M,607
1640037001,607,CUSTO OPERACIONAL  A.F.C.B.M,607
1640136002,640,CEMIG SAUDE,640
1640163001,617,CUSTO OPERACIONAL COPASA,617
1640163002,617,CUSTO OPERACIONAL COPASA,617
1640163003,617,CUSTO OPERACIONAL COPASA,617
1640163005,617,CUSTO OPERACIONAL COPASA,617
1640163006,617,CUSTO OPERACIONAL COPASA,617
1640163007,617,CUSTO OPERACIONAL COPASA,617
1640378001,607,CUSTO OPERACIONAL  A.F.C.B.M,607
1640384001,607,CUSTO OPERACIONAL  A.F.C.B.M,607
1640990002,613,CUSTO OPERAC PEA,613
1640990005,613,CUSTO OPERAC PEA,613
1641002001,399,PRE-PAGAMENTO ,399
1641006001,399,PRE-PAGAMENTO ,399
1641006002,399,PRE-PAGAMENTO ,399
1641008001,399,PRE-PAGAMENTO ,399
1641008002,399,PRE-PAGAMENTO ,399
1641009001,399,PRE-PAGAMENTO ,399
1641009002,399,PRE-PAGAMENTO ,399
1641010001,399,PRE-PAGAMENTO ,399
1641010002,399,PRE-PAGAMENTO ,399
1641010003,399,PRE-PAGAMENTO ,399
1641010004,399,PRE-PAGAMENTO ,399
1641112001,399,PRE-PAGAMENTO ,399
1641116001,399,PRE-PAGAMENTO ,399
1641141001,399,PRE-PAGAMENTO ,399
1641153001,399,PRE-PAGAMENTO ,399
1641154001,399,PRE-PAGAMENTO ,399
1641157001,399,PRE-PAGAMENTO ,399
1641158001,399,PRE-PAGAMENTO ,399
1641160001,399,PRE-PAGAMENTO ,399
1641161001,399,PRE-PAGAMENTO ,399
1641162001,399,PRE-PAGAMENTO ,399
1641165001,399,PRE-PAGAMENTO ,399
1641167001,399,PRE-PAGAMENTO ,399
1641168001,399,PRE-PAGAMENTO ,399
1641169001,399,PRE-PAGAMENTO ,399
1641171001,399,PRE-PAGAMENTO ,399
1641175001,399,PRE-PAGAMENTO ,399
1641175002,399,PRE-PAGAMENTO ,399
1641175003,399,PRE-PAGAMENTO ,399
1641177001,399,PRE-PAGAMENTO ,399
1641181001,399,PRE-PAGAMENTO ,399
1641181002,399,PRE-PAGAMENTO ,399
1641182001,399,PRE-PAGAMENTO ,399
1641189001,399,PRE-PAGAMENTO ,399
1641213001,399,PRE-PAGAMENTO ,399
1641215001,399,PRE-PAGAMENTO ,399
1641502001,399,PRE-PAGAMENTO ,399
1641574001,399,PRE-PAGAMENTO ,399
1641575001,399,PRE-PAGAMENTO ,399
1641576001,399,PRE-PAGAMENTO ,399
1642201001,399,PRE-PAGAMENTO ,399
1642202001,399,PRE-PAGAMENTO ,399
1642204001,399,PRE-PAGAMENTO ,399
1642205001,399,PRE-PAGAMENTO ,399
1642206001,399,PRE-PAGAMENTO ,399
1642212001,399,PRE-PAGAMENTO ,399
1642214001,399,PRE-PAGAMENTO ,399
1642219001,399,PRE-PAGAMENTO ,399
1642223001,399,PRE-PAGAMENTO ,399
1642224001,399,PRE-PAGAMENTO ,399
1642231001,399,PRE-PAGAMENTO ,399
1642235001,399,PRE-PAGAMENTO ,399
1642238001,399,PRE-PAGAMENTO ,399
1642241001,399,PRE-PAGAMENTO ,399
1642243001,399,PRE-PAGAMENTO ,399
1642244001,399,PRE-PAGAMENTO ,399
1642248001,399,PRE-PAGAMENTO ,399
1642256001,399,PRE-PAGAMENTO ,399
1642257001,399,PRE-PAGAMENTO ,399
1642260001,399,PRE-PAGAMENTO ,399
1642268001,399,PRE-PAGAMENTO ,399
1642270001,399,PRE-PAGAMENTO ,399
1642273001,399,PRE-PAGAMENTO ,399
1642277001,399,PRE-PAGAMENTO ,399
1642278001,399,PRE-PAGAMENTO ,399
1642290001,399,PRE-PAGAMENTO ,399
1642292001,399,PRE-PAGAMENTO ,399
1642293001,399,PRE-PAGAMENTO ,399
1642296001,399,PRE-PAGAMENTO ,399
1642299001,399,PRE-PAGAMENTO ,399
1642300001,399,PRE-PAGAMENTO ,399
1642301001,399,PRE-PAGAMENTO ,399
1642302001,399,PRE-PAGAMENTO ,399
1642305001,399,PRE-PAGAMENTO ,399
1642309001,399,PRE-PAGAMENTO ,399
1642314001,399,PRE-PAGAMENTO ,399
1642316001,399,PRE-PAGAMENTO ,399
1642319001,399,PRE-PAGAMENTO ,399
1642320001,399,PRE-PAGAMENTO ,399
1642321001,399,PRE-PAGAMENTO ,399
1642322001,399,PRE-PAGAMENTO ,399
1642324001,399,PRE-PAGAMENTO ,399
1642325001,399,PRE-PAGAMENTO ,399
1642326001,399,PRE-PAGAMENTO ,399
1642331001,399,PRE-PAGAMENTO ,399
1642336001,399,PRE-PAGAMENTO ,399
1642337001,399,PRE-PAGAMENTO ,399
1642338001,399,PRE-PAGAMENTO ,399
1642341001,399,PRE-PAGAMENTO ,399
1642344001,399,PRE-PAGAMENTO ,399
1642345001,399,PRE-PAGAMENTO ,399
1642350001,399,PRE-PAGAMENTO ,399
1642352001,399,PRE-PAGAMENTO ,399
1642354001,399,PRE-PAGAMENTO ,399
