CD_EMPRESA,CD_AGRUPAMENTO,NM_AGRUPAMENTO,ID_ORIGEM
1640027001,31,CUSTO OPERACIONAL  A.F.C.B.M,607
1640033001,31,CUSTO OPERACIONAL  A.F.C.B.M,607
1640033002,31,CUSTO OPERACIONAL  A.F.C.B.M,607
1640034001,31,CUSTO OPERACIONAL  A.F.C.B.M,607
1640034002,31,CUSTO OPERACIONAL  A.F.C.B.M,607
1640036001,31,CUSTO OPERACIONAL  A.F.C.B.M,607
1640037001,31,CUSTO OPERACIONAL  A.F.C.B.M,607
1640136001,36,CEMIG SAUDE,640
1640136002,36,CEMIG SAUDE,640
1640163001,35,CUSTO OPERACIONAL COPASA,617
1640163002,35,CUSTO OPERACIONAL COPASA,617
1640163003,35,CUSTO OPERACIONAL COPASA,617
1640163004,35,CUSTO OPERACIONAL COPASA,617
1640163005,35,CUSTO OPERACIONAL COPASA,617
1640163006,35,CUSTO OPERACIONAL COPASA,617
1640163007,35,CUSTO OPERACIONAL COPASA,617
1640378001,31,CUSTO OPERACIONAL  A.F.C.B.M,607
1640384001,31,CUSTO OPERACIONAL  A.F.C.B.M,607
1640990001,93,CUSTO OPERAC PEA,613
1640990002,93,CUSTO OPERAC PEA,613
1640990003,93,CUSTO OPERAC PEA,613
1640990004,93,CUSTO OPERAC PEA,613
1640990005,93,CUSTO OPERAC PEA,613
1640990006,93,CUSTO OPERAC PEA,613
1641002001,1,PRE-PAGAMENTO ,399
1641006001,1,PRE-PAGAMENTO ,399
1641006002,1,PRE-PAGAMENTO ,399
1641008001,1,PRE-PAGAMENTO ,399
1641008002,1,PRE-PAGAMENTO ,399
1641009001,1,PRE-PAGAMENTO ,399
1641009002,1,PRE-PAGAMENTO ,399
1641010001,1,PRE-PAGAMENTO ,399
1641010002,1,PRE-PAGAMENTO ,399
1641010003,1,PRE-PAGAMENTO ,399
1641010004,1,PRE-PAGAMENTO ,399
1641112001,1,PRE-PAGAMENTO ,399
1641116001,1,PRE-PAGAMENTO ,399
1641141001,1,PRE-PAGAMENTO ,399
1641153001,1,PRE-PAGAMENTO ,399
1641154001,1,PRE-PAGAMENTO ,399
1641157001,1,PRE-PAGAMENTO ,399
1641158001,1,PRE-PAGAMENTO ,399
1641160001,1,PRE-PAGAMENTO ,399
1641161001,1,PRE-PAGAMENTO ,399
1641162001,1,PRE-PAGAMENTO ,399
1641165001,1,PRE-PAGAMENTO ,399
1641167001,1,PRE-PAGAMENTO ,399
1641168001,1,PRE-PAGAMENTO ,399
1641169001,1,PRE-PAGAMENTO ,399
1641171001,1,PRE-PAGAMENTO ,399
1641175001,1,PRE-PAGAMENTO ,399
1641175002,1,PRE-PAGAMENTO ,399
1641175003,1,PRE-PAGAMENTO ,399
1641177001,1,PRE-PAGAMENTO ,399
1641181001,1,PRE-PAGAMENTO ,399
1641181002,1,PRE-PAGAMENTO ,399
1641182001,1,PRE-PAGAMENTO ,399
1641189001,1,PRE-PAGAMENTO ,399
1641213001,1,PRE-PAGAMENTO ,399
1641215001,1,PRE-PAGAMENTO ,399
1641502001,1,PRE-PAGAMENTO ,399
1641574001,1,PRE-PAGAMENTO ,399
1641575001,1,PRE-PAGAMENTO ,399
1641576001,1,PRE-PAGAMENTO ,399
1642201001,1,PRE-PAGAMENTO ,399
1642202001,1,PRE-PAGAMENTO ,399
1642204001,1,PRE-PAGAMENTO ,399
1642205001,1,PRE-PAGAMENTO ,399
1642206001,1,PRE-PAGAMENTO ,399
1642212001,1,PRE-PAGAMENTO ,399
1642214001,1,PRE-PAGAMENTO ,399
1642219001,1,PRE-PAGAMENTO ,399
1642223001,1,PRE-PAGAMENTO ,399
1642224001,1,PRE-PAGAMENTO ,399
1642231001,1,PRE-PAGAMENTO ,399
1642235001,1,PRE-PAGAMENTO ,399
1642238001,1,PRE-PAGAMENTO ,399
1642241001,1,PRE-PAGAMENTO ,399
1642243001,1,PRE-PAGAMENTO ,399
1642244001,1,PRE-PAGAMENTO ,399
1642248001,1,PRE-PAGAMENTO ,399
1642256001,1,PRE-PAGAMENTO ,399
1642257001,1,PRE-PAGAMENTO ,399
1642260001,1,PRE-PAGAMENTO ,399
1642268001,1,PRE-PAGAMENTO ,399
1642270001,1,PRE-PAGAMENTO ,399
1642273001,1,PRE-PAGAMENTO ,399
1642277001,1,PRE-PAGAMENTO ,399
1642278001,1,PRE-PAGAMENTO ,399
1642290001,1,PRE-PAGAMENTO ,399
1642292001,1,PRE-PAGAMENTO ,399
1642293001,1,PRE-PAGAMENTO ,399
1642296001,1,PRE-PAGAMENTO ,399
1642299001,1,PRE-PAGAMENTO ,399
1642300001,1,PRE-PAGAMENTO ,399
1642301001,1,PRE-PAGAMENTO ,399
1642302001,1,PRE-PAGAMENTO ,399
1642305001,1,PRE-PAGAMENTO ,399
1642309001,1,PRE-PAGAMENTO ,399
