DT_FERIADO,TP_FERIADO,DS_FERIADO,ID_ORIGEM
24/02/2008,1,CARNAVAL,5
10/04/2008,1,PAIXAO DE CRISTO,6
21/04/2008,1,TIRADENTES,9
01/05/2008,1,DIA DO TRABALHO,10
02/11/2008,1,Finados,1
15/11/2008,1,PROCLAMACAO DA REPUBLICA,2
25/12/2008,1,NATAL,3
01/01/2009,1,CONFRATERNIZAÇÃO UNIVERSAL,4
24/02/2009,1,CARNAVAL,7
10/04/2009,1,PAIXAO DE CRISTO,8
21/04/2009,1,TIRADENTES,9
01/05/2009,1,DIA DO TRABALHO,10
11/06/2009,1,CORPUS CHRISTI,11
08/08/2009,1,PADROEIRO DA CIDADE ARAXA (SAO DOMINGOS),14
15/08/2009,1,NOSSA SENHORA DA ABADIA,16
07/09/2009,1,INDEPENDENCIA DO BRASIL,11
12/10/2009,1,NOSSA SENHORA APARECIDA,13
02/11/2009,1,FINADOS,26
15/11/2009,1,PROCLAMACAO DA REPUBLICA,27
25/12/2009,1,NATAL,29
01/01/2010,1,CONFRATERNIZAÇÃO UNIVERSAL,30
16/02/2010,1,CARNAVAL,31
08/03/2010,1,CARNAVAL,31181413
02/04/2010,1,PAIXAO DE CRISTO,32
21/04/2010,1,TIRADENTES,35
01/05/2010,1,DIA DO TRABALHO,33
03/06/2010,1,CORPUS CHRISTI,34
08/08/2010,1,PADREIRO DA CIDADE (SAO DOMINGOS),38
15/08/2010,1,NOSSA SENHORA DA ABADIA,40
07/09/2010,1,INDEPENDENCIA DO BRASIL,36
12/10/2010,1,NOSSA SENHORA APARECIDA,37
02/11/2010,1,FINADOS,12
15/11/2010,1,PROCLAMACAO DA REPUBLICA,13
25/12/2010,1,NATAL,14
01/01/2011,1,CONFRATERNIZAÇÃO UNIVERSAL,27395783
21/04/2011,1,TIRADENTES,12584670
22/04/2011,1,PAIXAO DE CRISTO,5822711
01/05/2011,1,DIA DO TRABALHO,23523373
23/06/2011,1,CORPUS CHRISTI,21979278
08/08/2011,1,SAO DOMINGOS,27060197
15/08/2011,1,NOSSA SRA DA ABADIA,2251329
07/09/2011,1,INDEPENDENCIA,31438505
12/10/2011,1,NOSSA SENHORA APARECIDA,15951566
02/11/2011,1,FINADOS,21259034
15/11/2011,1,PROCLAMACAO DA REPUBLICA,20217433
25/12/2011,1,NATAL,23926691
01/01/2012,1,CONFRATERNIZACAO UNIVERSAL,25682433
20/02/2012,1,CARNAVAL FER.BANCARIO,15407704
21/02/2012,1,CARNAVAL,170384
06/04/2012,1,PAIXAO DE CRISTO,3191129
21/04/2012,1,TIRADENTES,26409302
01/05/2012,1,DIA DO TRABALHO,16359517
07/06/2012,1,CORPUS CHRISTI,20354965
07/07/2012,1,INDEPENDENCIA DO BRASIL,30134168
08/08/2012,1,SAO DOMINGOS,1820592
15/08/2012,1,NSA SRA DA ABADIA,24041227
12/10/2012,1,NSA SRA APARECIDA,21532129
02/11/2012,1,FINADOS,22177894
15/11/2012,1,PROCLAMACAO DA REPUBLICA,12022447
25/12/2012,1,NATAL,7373269
01/01/2013,1,CONFRATERNIZACAO UNIVERSAL,24254728
12/02/2013,1,CARNAVAL,18109116
29/03/2013,1,PAIXAO DE CRISTO,2554829
21/04/2013,1,TIRADENTES,3991815
01/05/2013,1,TRABALHO,21629882
30/05/2013,1,CORPUS CHRISTI,9106521
08/08/2013,1,SAO DOMINGOS,20774846
15/08/2013,1,NSA SRA ABADIA,24092989
07/09/2013,1,INDEPENDENCIA,12620510
12/10/2013,1,NSA SRA APARECIDA,3626619
02/11/2013,1,FINADOS,12136097
15/11/2013,1,PROCLAMACAO,2264335
25/12/2013,1,NATAL,14691315
01/01/2014,1,CONFRATERNIZACAO UNIVERSAL,15810670
04/03/2014,1,CARNAVAL,30958298
18/04/2014,1,PAIXAO DE CRISTO,14869946
20/04/2014,1,PASCOA,6358540
21/04/2014,1,TIRADENTES,9203479
01/05/2014,1,TRABALHO,14963662
19/06/2014,1,CORPUS CHRISTI,6255960
08/08/2014,1,SAO DOMINGOS,6040651
15/08/2014,1,NSA SRA ABADIA,25967336
07/09/2014,1,INDEPENDENCIA,12321023
12/10/2014,1,NSA.APARECIDA,8485612
02/11/2014,1,FINADOS,15952173
15/11/2014,1,PROCLAMACAO REPUBLICA,23145070
25/12/2014,1,NATAL,17078947
01/01/2015,1,CONFRATERNIZACAO UNIVERSAL,30202214
