CD_GRUPO,CD_ITEM,ID_ORIGEM
29441,79900054,2310
29441,79924069,3596
29441,79938922,5041
29441,79968970,7606
29441,79968996,7608
29441,79969119,7613
29441,79969143,7615
29441,79969267,7622
29441,79969356,7631
29441,79969380,7633
29441,79969488,7638
29441,79969550,7640
29441,79969682,7647
29441,79969780,7649
29441,79969852,7656
29441,79969879,7658
29441,79969925,7663
29441,79969941,7665
29441,79970028,7672
29441,79970044,7674
29441,79970125,7681
29441,79970290,7697
29441,79970354,7699
29441,79970532,7706
29441,79970559,7708
29441,79970621,7713
29441,79970648,7715
29441,79970710,7722
29441,79970834,7733
29441,79970885,7738
29441,79971024,7749
29441,79971121,7756
29441,79971148,7758
29441,79971202,7763
29441,79971237,7765
29441,79971253,7767
29441,79971342,7772
29441,79971377,7774
29441,79971440,7781
29441,79971466,7783
29441,79971598,7790
29441,70012059,33953
29441,70012822,34030
29441,70013144,34062
29441,70039305,34966
29441,70039712,34991
29441,70039798,34996
29441,70039909,34998
29441,70043450,35021
29441,70043485,35023
29441,70043531,35025
29441,70050368,35307
29441,70050384,35309
29441,70051046,35323
29441,70051062,35325
29441,70051178,35332
29441,70051224,35334
29441,70087776,37311
29441,70089825,37445
29441,70097097,37915
29441,70097534,37958
29440,60000775,132507
29441,70850160,229314
29441,70850259,229357
29441,70139253,229664
29441,70014205,229700
29441,70014272,229705
29441,70014299,229707
29441,70272913,230468
29441,70138940,230475
29441,70138931,230477
29441,70050376,233126
29441,70347794,233917
29441,70272905,235466
29441,70199710,235880
29441,70199736,235882
29441,70139040,236098
29441,70139024,236100
29441,70242410,236107
29441,70242836,236109
29441,70244006,236114
29441,70243697,236116
29441,70147892,236139
29441,70243565,236182
29441,70262195,236200
29441,70716803,236243
29441,70716854,236248
29441,70014396,236300
29441,70851050,236516
29441,70019991,236532
29441,70020051,236534
29441,70360944,236616
29441,70705321,236643
29441,70716870,236666
29441,70014370,236743
29441,70236380,236893
29441,70896402,236902
29441,70765570,236950
29441,70223750,236959
29441,70177350,237118
29441,70852316,237211
29441,70851670,237284
29441,70192251,237570
29441,79968929,237870
29441,79969160,237872
29441,79969844,237881
29441,79970478,237897
29441,79970761,237902
29441,79970788,237904
29441,79970826,237906
29441,79971008,237911
29441,70961719,268336
29441,70965633,268361
29441,70971366,268395
29441,70973016,268404
29441,70973032,268406
29441,70973083,268411
29441,70973105,268413
29441,70973172,268420
29441,70973326,268431
29441,70980977,268463
29441,70981124,268470
29441,70981140,268472
29441,71002103,268729
29441,71002170,268731
29441,71002405,268738
29441,71002448,268740
29441,71002570,268745
29441,71002774,268749
29441,71002960,268756
29441,71003142,268763
29441,71003169,268765
29441,71003258,268770
29441,71003304,268772
29441,71003320,268774
29441,71003380,268779
29441,71003428,268781
29441,71003703,268788
29441,71003720,268790
29441,71006982,268997
29441,71007008,268999
29441,71007610,269031
29441,71007636,269033
29441,71007687,269038
29441,71007776,269047
29441,71007792,269049
29441,71016074,269397
29441,71016147,269399
29441,71017348,269447
29441,71019642,269608
29441,71019715,269615
29441,71019740,269617
29441,71019812,269624
29441,71019839,269626
29441,71025111,269790
29441,71025308,269792
29441,71025375,269799
29441,71025391,269801
29441,71025740,269808
29441,71025847,269810
29441,71027629,269849
29441,71027696,269851
29441,71027955,269858
29441,71027980,269860
29441,71028102,269865
29441,71028170,269867
29441,71029052,269899
29441,71031235,269940
29441,71032525,269949
29441,71039627,270060
29441,71052780,270142
29441,71078878,270401
29441,71078932,270403
29441,71079017,270408
29441,71079033,270410
29441,71079106,270417
29441,71079122,270419
29441,71079190,270426
29441,71079475,270428
29441,71127321,271578
29441,71127380,271580
29441,71127453,271587
29441,71127470,271589
29441,71127593,271598
29441,71127712,271603
29441,71127836,271605
21997,20103034,21778
21997,20103050,21780
21997,20103131,21785
21997,20103182,21787
21997,20103255,21794
21997,20103271,21796
21997,20103379,21803
21997,20103425,21805
21997,20103484,21810
21997,20103514,21812
21997,20103697,21819
21997,20103719,21821
25303,20104090,21830
29084,20104154,21835
25126,20104278,21839
21759,20201052,21844
27233,20202024,21846
29084,20204043,21853
28959,30101220,23157
26998,30101247,23159
28652,30101344,23164
28852,30101425,23166
28652,30101514,23173
28652,30101530,23175
28652,30101638,23182
26998,30101662,23184
27502,30101778,23189
27502,30101794,23191
28652,30101913,23198
28776,30101948,23200
28754,30201080,23207
28754,30201101,23209
28690,30202051,23214
28690,30202094,23216
28628,30203023,23223
26768,30204054,23225
28066,30205034,23232
28066,30205050,23234
