CD_GRUPO,CD_PRESTADOR,ID_ORIGEM
4,164000052909,691
4,164000055746,693
4,164000058230,694
4,164000065920,696
4,164000076549,699
4,164000084274,701
4,164000090657,703
4,164000094679,705
4,164000099468,709
4,164000105654,711
4,164000105859,713
4,164000107959,714
4,164000108033,715
4,164000109803,717
4,164000113320,718
4,164000114246,719
4,164000115625,720
4,164000118764,721
4,164000122656,722
4,164000123377,723
4,164000124004,724
4,164000124012,725
4,164000129464,726
4,164000130438,727
4,164000146334,732
4,164000151125,735
4,164000151770,736
4,164000156321,740
4,164000157875,743
4,164000158901,744
4,164000158928,745
4,164000162461,747
4,164000162658,748
4,164000164375,749
4,164000164804,22912
4,164000164812,750
4,164000171754,752
4,164000180133,753
4,164000180664,754
4,164000183469,755
4,164000187561,756
4,164000188355,757
4,164000190449,758
4,164000195335,760
4,164000199330,762
4,164000200886,763
4,164000209433,765
4,164000210660,766
4,164000211357,767
4,164000211365,768
4,164000211373,769
4,164000215697,770
4,164000216790,772
4,164000220054,773
4,164000222278,776
4,164000230068,780
4,164000230378,781
4,164000239391,784
4,164000239723,785
4,164000244018,787
4,164000251766,789
4,164000253050,791
4,164000256806,793
4,164000263810,794
4,164000270175,797
4,164000274472,35768
4,164000285253,799
4,164000288007,801
4,164000288430,802
4,164000291652,804
4,164000291857,805
4,164000291920,806
4,164000292233,807
4,164000293000,808
4,164000294252,810
4,164000296042,811
4,164000298177,813
4,164000302620,815
4,164000306803,817
4,164000309527,820
4,164000310169,821
4,164000315187,822
4,164000315497,823
4,164000321500,826
4,164000322469,827
4,164000322477,828
4,164000322663,829
4,164000332367,831
4,164000332936,832
4,164000335935,833
4,164000339159,30006
4,164000341269,835
4,164000345019,836
4,164000346805,13083
4,164000348611,839
4,164000355189,840
4,164000359940,842
4,164000364811,843
4,164000365389,844
4,164000367063,845
4,164000367896,846
4,164000371427,848
4,164000386033,851
4,164000388109,10108
4,164000388907,853
4,164000390146,7742
4,164000393650,854
4,164000393838,24690
4,164000403051,856
4,164000406370,49377
4,164000408160,59668
4,164000413979,26669
4,164000415351,7741
4,164000415486,14942
4,164000416781,859
4,164000425160,14940
4,164000428496,14945
4,164000435450,7312
4,164000436812,860
4,164000437908,26670
4,164000462449,28286
4,164000466120,52912
4,164000466620,37658
4,164000467970,37512
4,164000474100,43867
4,164000476148,29511
4,164000477820,43868
4,164000480617,7743
4,164000488162,28285
4,164000496860,47690
4,164000498710,62000
4,164000500880,57523
4,164000501576,26668
4,164000501657,26667
4,164000505730,47110
4,164000508341,10664
4,164000508710,62562
4,164000533060,44811
4,164000533520,49380
4,164000533540,59666
4,164000540430,44241
4,164000541840,46876
4,164000542660,62535
4,164000550100,50852
4,164000555800,47111
4,164000568950,57519
4,164000569050,54836
4,164000569200,46878
4,164000580640,62093
4,164000582610,44934
4,164000587280,63433
4,164000596100,51169
4,164000600720,98352
4,164000604100,67992
4,164000604210,58262
4,164000621750,60581
4,164000622860,58264
4,164000631000,99382
4,164000635010,54305
4,164000638720,44243
4,164000642780,60618
4,164000644360,58263
4,164000649230,47988
4,164000650500,59652
4,164000653410,132763
4,164000656750,43870
4,164000657770,98449
4,164000661480,66905
4,164000664820,70177
4,164000665140,132794
4,164000665160,64383
4,164000669310,98358
4,164000670580,60617
4,164000674150,132765
4,164000675090,62563
4,164000681310,110505
4,164000682150,98448
4,164000682660,132790
4,164000698710,59661
4,164000709740,98354
4,164000721630,47692
4,164000726150,99420
4,164000733580,72167
4,164000744730,53787
4,164000746910,72175
4,164000787380,60772
4,164000845940,70011
2,16411000600,1306
2,16411000601,1307
2,16411000603,1309
2,16411000604,1310
2,16411000605,1311
2,164110006065,1312
2,164110006073,1313
2,164110006081,1006
2,164110006090,1007
2,16411000624,1328
2,164110006251,1329
9,16411000626,48894
9,164110006270,61393
9,164110006280,61594
9,164110006290,61595
9,164110006300,131055
16,164210000010,70202
6,164210000020,45858
1,164210004010,64205
1,164210004110,936
1,164210004161,941
1,164210004196,944
1,164210004250,948
1,164210004269,949
1,164210004277,950
1,164210004323,955
1,164210004358,958
1,164210004366,959
1,164210004374,960
1,164210004404,963
1,164210004447,967
1,164210004528,975
1,164210004544,977
1,164210004579,980
1,164210004595,982
1,164210004676,990
1,164210004684,991
1,164210004692,1695
1,164210004706,5493
1,164210004722,8376
1,164210004755,11316
1,164210004790,15391
1,164210004862,35426
1,164210004880,37387
1,164210004910,43967
1,164210004920,45116
1,164210004940,47987
1,164210004980,57209
1,164210004990,61182
1,164210005000,63074
1,164210005010,66347
1,164210005020,70550
1,164210005030,70551
16,164210005040,127701
16,164210005050,128073
1,164210005060,129716
1,164210005070,129727
1,164210006016,992
1,164210006032,994
1,164210006110,42300
1,164210006120,44240
1,164210006160,122905
1,164210008124,11419
1,164210008370,48316
1,164210008440,68380
1,164210008450,90071
1,164210008460,131228
3,164310005011,1008
3,164310005020,1009
3,164310005038,1010
3,164310005062,1013
3,164310005100,1016
3,164310005119,1017
3,164310005151,1021
3,164310005160,1022
3,164310005178,16637
3,164310005184,24322
3,164310005194,32585
3,164310005200,47115
3,164310005210,58312
3,164310005220,60562
1,164999999999,66080
