CD_PACOTE,CD_ITEM,CD_PREST,TP_ACOMODACAO,DT_INI_VIGENCIA,IND_ABRANG_GEOGR,NR_IDADE_MIN,NR_IDADE_MAX,FG_PACOTE_A1200,FG_CIRURGICO,ID_ORIGEM
85002001,99999919,,9,01/01/2019,1,,,S,,957980
85002001,99999927,,9,01/01/2019,1,,,S,,957980
85002001,99999935,,9,01/01/2019,1,,,S,,957980
85002002,99999919,,9,01/01/2019,1,,,S,,957981
85002002,99999927,,9,01/01/2019,1,,,S,,957981
85002002,99999935,,9,01/01/2019,1,,,S,,957981
85002003,99999919,,9,01/01/2019,1,,,S,,957982
85002003,99999927,,9,01/01/2019,1,,,S,,957982
85002003,99999935,,9,01/01/2019,1,,,S,,957982
85003001,99999919,,9,01/01/2019,1,,,S,,957983
85003001,99999927,,9,01/01/2019,1,,,S,,957983
85003001,99999935,,9,01/01/2019,1,,,S,,957983
85003001,70872260,,9,01/01/2019,1,,,S,,957983
85003002,99999919,,9,01/01/2019,1,,,S,,957984
85003002,99999927,,9,01/01/2019,1,,,S,,957984
85003002,99999935,,9,01/01/2019,1,,,S,,957984
85003003,99999919,,9,01/01/2019,1,,,S,,957985
85003003,99999927,,9,01/01/2019,1,,,S,,957985
85003003,99999935,,9,01/01/2019,1,,,S,,957985
85003003,00609471,,9,01/01/2019,1,,,S,,957985
85003003,00776882,,9,01/01/2019,1,,,S,,957985
85003003,00777277,,9,01/01/2019,1,,,S,,957985
85003003,00777315,,9,01/01/2019,1,,,S,,957985
85003003,00777439,,9,01/01/2019,1,,,S,,957985
85003003,00778257,,9,01/01/2019,1,,,S,,957985
85003003,02799880,,9,01/01/2019,1,,,S,,957985
85003005,99999919,,9,01/01/2019,1,,,S,,957987
85003005,99999927,,9,01/01/2019,1,,,S,,957987
85003005,99999935,,9,01/01/2019,1,,,S,,957987
85003005,77232585,,9,01/01/2019,1,,,S,,957987
85003005,00654205,,9,01/01/2019,1,,,S,,957987
85003005,00679070,,9,01/01/2019,1,,,S,,957987
85003005,00776700,,9,01/01/2019,1,,,S,,957987
85003005,00776815,,9,01/01/2019,1,,,S,,957987
85005001,99999919,,9,01/01/2019,1,,,S,,957988
85005001,99999927,,9,01/01/2019,1,,,S,,957988
85005001,99999935,,9,01/01/2019,1,,,S,,957988
85005002,99999919,,9,01/01/2019,1,,,S,,957989
85005002,99999927,,9,01/01/2019,1,,,S,,957989
85005002,99999935,,9,01/01/2019,1,,,S,,957989
85005003,99999919,,9,01/01/2019,1,,,S,,957990
85005003,99999927,,9,01/01/2019,1,,,S,,957990
85005003,99999935,,9,01/01/2019,1,,,S,,957990
85004001,99999919,,9,01/01/2019,1,,,S,,957991
85004001,99999927,,9,01/01/2019,1,,,S,,957991
85004001,99999935,,9,01/01/2019,1,,,S,,957991
85004001,70098719,,9,01/01/2019,1,,,S,,957991
85004001,72613432,,9,01/01/2019,1,,,S,,957991
85004001,72600810,,9,01/01/2019,1,,,S,,957991
85004001,00261890,,9,01/01/2019,1,,,S,,957991
85004001,79059970,,9,01/01/2019,1,,,S,,957991
85004002,99999919,,9,01/01/2019,1,,,S,,957992
85004002,99999927,,9,01/01/2019,1,,,S,,957992
85004002,99999935,,9,01/01/2019,1,,,S,,957992
85004002,71115595,,9,01/01/2019,1,,,S,,957992
85004002,70357072,,9,01/01/2019,1,,,S,,957992
85004002,71003770,,9,01/01/2019,1,,,S,,957992
85004002,71177078,,9,01/01/2019,1,,,S,,957992
85004002,00117110,,9,01/01/2019,1,,,S,,957992
85004002,00261890,,9,01/01/2019,1,,,S,,957992
85004002,78514088,,9,01/01/2019,1,,,S,,957992
85004003,70107874,,9,01/01/2019,1,,,S,,957993
85004003,99999919,,9,01/01/2019,1,,,S,,957993
85004003,99999927,,9,01/01/2019,1,,,S,,957993
85004003,99999935,,9,01/01/2019,1,,,S,,957993
85004003,71115595,,9,01/01/2019,1,,,S,,957993
85004003,70357072,,9,01/01/2019,1,,,S,,957993
85004003,71003770,,9,01/01/2019,1,,,S,,957993
85004003,71177078,,9,01/01/2019,1,,,S,,957993
85004003,00261890,,9,01/01/2019,1,,,S,,957993
85004003,78514088,,9,01/01/2019,1,,,S,,957993
85002004,99999919,,9,01/01/2019,1,,,S,,957996
85002004,99999927,,9,01/01/2019,1,,,S,,957996
85002004,99999935,,9,01/01/2019,1,,,S,,957996
85007001,99999919,,9,01/01/2019,1,,,S,,1028892
85007001,99999927,,9,01/01/2019,1,,,S,,1028892
85007001,99999935,,9,01/01/2019,1,,,S,,1028892
85007002,99999919,,9,01/01/2019,1,,,S,,1028893
85007002,99999927,,9,01/01/2019,1,,,S,,1028893
85007002,99999935,,9,01/01/2019,1,,,S,,1028893
85007003,99999919,,9,01/01/2019,1,,,S,,1028894
85007003,99999927,,9,01/01/2019,1,,,S,,1028894
85007003,99999935,,9,01/01/2019,1,,,S,,1028894
85007004,99999919,,9,01/01/2019,1,,,S,,1028895
85007004,99999927,,9,01/01/2019,1,,,S,,1028895
85007004,99999935,,9,01/01/2019,1,,,S,,1028895
85007005,99999919,,9,01/01/2019,1,,,S,,1028896
85007005,99999927,,9,01/01/2019,1,,,S,,1028896
85007005,99999935,,9,01/01/2019,1,,,S,,1028896
85007006,99999919,,9,01/01/2019,1,,,S,,1028897
85007006,99999927,,9,01/01/2019,1,,,S,,1028897
85007006,99999935,,9,01/01/2019,1,,,S,,1028897
85007007,99999919,,9,01/01/2019,1,,,S,,1028898
85007007,99999927,,9,01/01/2019,1,,,S,,1028898
85007007,99999935,,9,01/01/2019,1,,,S,,1028898
85007008,99999919,,9,01/01/2019,1,,,S,,1028899
85007008,99999927,,9,01/01/2019,1,,,S,,1028899
85007008,99999935,,9,01/01/2019,1,,,S,,1028899
86000001,99999919,,9,01/01/2019,1,,,S,,1028900
86000001,99999927,,9,01/01/2019,1,,,S,,1028900
86000001,99999935,,9,01/01/2019,1,,,S,,1028900
86000002,99999919,,9,01/01/2019,1,,,S,,1028901
86000002,99999927,,9,01/01/2019,1,,,S,,1028901
86000002,99999935,,9,01/01/2019,1,,,S,,1028901
86000003,99999919,,9,01/01/2019,1,,,S,,1028902
86000003,99999927,,9,01/01/2019,1,,,S,,1028902
86000003,99999935,,9,01/01/2019,1,,,S,,1028902
86000004,99999919,,9,01/01/2019,1,,,S,,1028903
86000004,99999927,,9,01/01/2019,1,,,S,,1028903
86000004,99999935,,9,01/01/2019,1,,,S,,1028903
86000005,99999919,,9,01/01/2019,1,,,S,,1028904
86000005,99999927,,9,01/01/2019,1,,,S,,1028904
