CD_PACOTE,CD_ITEM_COMPOSTO,NR_QTD,VL_UNIT,ID_ORIGEM
85002001,99999919,1.0000,"196,3",3375838
85002001,99999927,1.0000,"56,53",3375839
85002001,99999935,1.0000,"44,87",3375840
85002002,99999919,1.0000,"232,84",3342388
85002002,99999927,1.0000,"150,01",3342389
85002002,99999935,1.0000,"108,02",3342390
85002003,99999919,1.0000,"303,87",3342400
85002003,99999927,1.0000,"171,32",3342401
85002003,99999935,1.0000,"202,14",3342402
85003001,99999919,1.0000,"241,17",3333446
85003001,99999927,1.0000,"81,58",3333447
85003001,99999935,1.0000,"36,29",3333448
85003001,70872260,1.0000,"38,96",3333449
85003002,99999919,1.0000,"789,86",3375774
85003002,99999927,1.0000,"125,81",3375775
85003002,99999935,1.0000,"84,33",3375776
85003003,99999919,1.0000,"1247,06",3333715
85003003,99999927,1.0000,"148,34",3333716
85003003,99999935,1.0000,"143,94",3333717
85003003,00609471,1.0000,50,3333718
85003003,00776882,1.0000,100,3333719
85003003,00777277,1.0000,70,3333720
85003003,00777315,1.0000,70,3333721
85003003,00777439,1.0000,35,3333722
85003003,00778257,1.0000,"12,3",3333723
85003003,02799880,1.0000,100,3333724
85003005,99999919,1.0000,"412,28",3333725
85003005,99999927,1.0000,"281,61",3333726
85003005,99999935,1.0000,"729,41",3333727
85003005,77232585,1.0000,"832,39",3333728
85003005,00654205,1.0000,910,3333729
85003005,00679070,1.0000,845,3333730
85003005,00776700,1.0000,"830,31",3333731
85003005,00776815,1.0000,820,3333732
85005001,99999919,1.0000,"199,98",3333694
85005001,99999927,1.0000,"3417,43",3333695
85005001,99999935,1.0000,"15,27",3333696
85005002,99999919,1.0000,"168,19",3333697
85005002,99999927,1.0000,"2259,78",3333698
85005002,99999935,1.0000,"8,51",3333699
85005003,99999919,1.0000,"168,19",3333733
85005003,99999927,1.0000,"2039,49",3333734
85005003,99999935,1.0000,"10,1",3333735
85004001,99999919,1.0000,640,3333456
85004001,99999927,1.0000,"336,4",3333457
85004001,99999935,1.0000,"164,6",3333458
85004001,70098719,1.0000,190,3333459
85004001,72613432,1.0000,150,3333460
85004001,72600810,1.0000,200,3333461
85004001,00261890,1.0000,60,3333462
85004001,79059970,1.0000,259,3333463
85004002,99999919,1.0000,"950,78",3333464
85004002,99999927,1.0000,"347,69",3333465
85004002,99999935,1.0000,"428,88",3333466
85004002,71115595,1.0000,75,3333467
85004002,70357072,1.0000,400,3333468
85004002,71003770,1.0000,836,3333469
85004002,71177078,1.0000,400,3333470
85004002,00117110,1.0000,170,3333471
85004002,00261890,1.0000,150,3333472
85004002,78514088,1.0000,"375,65",3333473
85004003,70107874,1.0000,170,3333474
85004003,99999919,1.0000,625,3333475
85004003,99999927,1.0000,"347,69",3333476
85004003,99999935,1.0000,"140,8",3333477
85004003,71115595,1.0000,75,3333478
85004003,70357072,1.0000,400,3333479
85004003,71003770,1.0000,836,3333480
85004003,71177078,1.0000,400,3333481
85004003,00261890,1.0000,150,3333482
85004003,78514088,1.0000,"303,51",3333483
85002004,99999919,1.0000,"66,86",3342412
85002004,99999927,1.0000,"30,58",3342413
85002004,99999935,1.0000,"20,08",3342414
85007001,99999919,1.0000,156,3333700
85007001,99999927,1.0000,"33,27",3333701
85007001,99999935,1.0000,"15,23",3333702
85007002,99999919,1.0000,156,3333703
85007002,99999927,1.0000,"38,66",3333704
85007002,99999935,1.0000,"59,84",3333705
85007003,99999919,1.0000,"51,39",3333706
85007003,99999927,1.0000,"41,26",3333707
85007003,99999935,1.0000,"130,35",3333708
85007004,99999919,1.0000,"173,28",3333736
85007004,99999927,1.0000,"45,03",3333737
85007004,99999935,1.0000,"67,69",3333738
85007005,99999919,1.0000,"231,83",3333709
85007005,99999927,1.0000,"26,49",3333710
85007005,99999935,1.0000,"63,68",3333711
85007006,99999919,1.0000,"51,39",3333739
85007006,99999927,1.0000,"19,71",3333740
85007006,99999935,1.0000,"30,9",3333741
85007007,99999919,1.0000,"316,68",3333742
85007007,99999927,1.0000,"119,38",3333743
85007007,99999935,1.0000,"55,94",3333744
85007008,99999919,1.0000,"283,22",3333712
85007008,99999927,1.0000,"52,77",3333713
85007008,99999935,1.0000,"40,01",3333714
86000001,99999919,1.0000,"1306,43",3376584
86000001,99999927,1.0000,"1225,11",3376585
86000001,99999935,1.0000,"239,05",3376586
86000002,99999919,1.0000,"1071,33",3341033
86000002,99999927,1.0000,"241,4",3341034
86000002,99999935,1.0000,"678,29",3341035
86000003,99999919,1.0000,"819,73",3341048
