CD_PLANO,CD_GRUPO,NR_DIAS_CARENCIA,ID_ORIGEM
1004,1,0,33621
1004,2,0,33622
1004,3,0,33623
1004,4,0,33624
1004,5,0,33625
1004,6,0,33626
1004,7,0,33627
1004,8,0,33628
1004,9,0,33629
1004,10,0,33630
1004,11,0,33631
1004,12,0,33632
1004,13,0,33633
1004,14,0,33634
1004,15,0,33635
1004,16,0,33636
1004,17,0,33637
1004,18,0,33638
1004,19,0,33639
1004,20,0,33640
1004,21,0,33641
1004,22,0,33642
1004,23,0,33643
1004,24,0,33644
1004,25,0,33645
1004,26,0,33646
1004,27,0,33647
1004,28,0,33648
1004,29,0,33649
1004,30,0,33650
1004,31,0,33651
1004,33,0,33652
1004,34,0,33653
1004,35,0,33654
1004,36,0,33655
1004,37,0,33656
1004,38,0,33657
1004,39,0,33658
1004,40,0,33659
1004,41,0,33660
1004,43,0,33661
1004,44,0,33662
1004,45,0,33663
1004,47,0,33664
1004,48,0,33665
1004,49,0,33666
1004,50,0,33667
1004,51,0,33668
1004,52,0,33669
1004,53,0,33670
1004,54,0,33671
1004,55,0,33672
1004,56,0,33673
1004,57,0,33674
1004,58,0,33675
1004,59,0,33676
1004,60,0,33677
1004,61,0,33678
1004,62,0,33679
1004,63,0,33680
1004,64,0,33681
1004,65,0,33682
1004,66,0,33683
1004,67,0,33684
1004,68,0,33685
1004,69,0,33686
1004,70,0,33687
1004,71,0,33688
1004,72,0,33689
1004,73,0,33690
1004,74,0,33691
1004,75,0,33692
1004,76,0,33693
1004,77,0,33694
1004,78,0,33695
1004,79,0,33696
1004,80,0,33697
1004,81,0,33698
1004,82,0,33699
1004,83,0,33700
1004,84,0,33701
1004,85,0,33702
1004,86,0,33703
1004,87,0,33704
1004,88,0,33705
1004,89,0,33706
1004,235,0,33707
1004,300,0,515906
1004,301,0,516390
1004,302,0,520480
1004,303,0,524581
1004,950,0,1193267
1007,1,0,33363
1007,2,0,33364
1007,3,0,33365
1007,4,0,33366
1007,5,0,33367
1007,6,0,33368
1007,7,0,33369
1007,8,0,33370
1007,9,0,33371
1007,10,0,33372
1007,11,0,33373
1007,12,0,33374
1007,13,0,33375
1007,14,0,33376
1007,15,0,33377
1007,16,0,33378
1007,17,0,33379
1007,18,0,33380
1007,19,0,33381
1007,20,0,33382
1007,21,0,33383
1007,22,0,33384
1007,23,0,33385
1007,24,0,33386
1007,25,0,33387
1007,26,0,33388
1007,27,0,33389
1007,28,0,33390
1007,29,0,33391
1007,30,0,33392
1007,31,0,33393
1007,33,0,33394
1007,34,0,33395
1007,35,0,33396
1007,36,0,33397
1007,37,0,33398
1007,38,0,33399
1007,39,0,33400
1007,40,0,33401
1007,41,0,33402
1007,43,0,33403
1007,44,0,33404
1007,45,0,33405
1007,47,0,33406
1007,48,0,33407
1007,49,0,33408
1007,50,0,33409
1007,51,0,33410
1007,52,0,33411
1007,53,0,33412
1007,54,0,33413
1007,55,0,33414
1007,56,0,33415
1007,57,0,33416
1007,58,0,33417
1007,59,0,33418
1007,60,0,33419
1007,61,0,33420
