CD_PLANO,CD_MUNIC,TP_SITUACAO,ID_ORIGEM
1640042B,3104007,I,1987
1640990E,3104007,I,2597
1640990E,3111507,I,2592
1640990E,3129509,I,2591
1640990E,3149200,I,2596
1640990E,3149804,I,2593
1640990E,3153004,I,2594
1640990E,3168101,I,2595
1641058L5,3104007,I,2247
1641058L5,3111507,I,2242
1641058L5,3153004,I,2244
1641058L5,3168101,I,2245
1641058L5,3129509,I,2241
1641058L5,3149200,I,2246
1641058L5,3149804,I,2243
1641145L8,3104007,I,2004
1641145L8,3111507,I,2007
1641145L8,3170107,I,2005
1641145L8,3149804,I,2008
1641145L8,3153004,I,2011
1641145L8,3157708,I,3065
1641145L8,3168101,I,2010
1641145L8,3127107,I,3063
1641145L8,3129509,I,2006
1641145L8,3147907,I,3064
1641145L8,3149200,I,2009
164310143,3104007,I,2807
164310143,3111507,I,2802
164310143,3129509,I,2801
164310143,3149200,I,2806
164310143,3149804,I,2803
164310143,3153004,I,2804
164310143,3168101,I,2805
164310145,3104007,I,2737
164310145,3111507,I,2732
164310145,3129509,I,2731
164310145,3149200,I,2736
164310145,3149804,I,2733
164310145,3153004,I,2734
164310145,3168101,I,2735
1643102B,3104007,I,2555
1643102B,3111507,I,2550
1643102B,3129509,I,2549
1643102B,3168101,I,2553
1643102B,3149200,I,2554
1643102B,3149804,I,2551
1643102B,3153004,I,2552
164310445,3104007,I,3038
164310445,3111507,I,3033
164310445,3129509,I,3032
164310445,3149200,I,3037
164310445,3149804,I,3034
164310445,3153004,I,3035
164310445,3168101,I,3036
1643105B2,3104007,I,2940
1643105B2,3111507,I,2935
1643105B2,3149804,I,2936
1643105B2,3153004,I,2937
1643105B2,3168101,I,2938
1643105B2,3129509,I,2934
1643105B2,3149200,I,2939
1643106A2,3104007,I,2723
1643106A2,3111507,I,2718
1643106A2,3129509,I,2717
1643106A2,3149200,I,2722
1643106A2,3149804,I,2719
1643106A2,3153004,I,2720
1643106A2,3168101,I,2721
1643106A3,3104007,I,2989
1643106A3,3111507,I,2984
1643106A3,3129509,I,2983
1643106A3,3149200,I,2988
1643106A3,3149804,I,2985
1643106A3,3153004,I,2986
1643106A3,3168101,I,2987
164310743,3104007,I,2632
164310743,3111507,I,2627
164310743,3129509,I,2626
164310743,3149200,I,2631
164310743,3149804,I,2628
164310743,3153004,I,2629
164310743,3168101,I,2630
164310745,3104007,I,2968
164310745,3111507,I,2963
164310745,3129509,I,2962
164310745,3149200,I,2967
164310745,3149804,I,2964
164310745,3153004,I,2965
164310745,3168101,I,2966
164310843,3104007,I,2961
164310843,3111507,I,2956
164310843,3129509,I,2955
164310843,3149200,I,2960
164310843,3149804,I,2957
164310843,3153004,I,2958
164310843,3168101,I,2959
164310845,3104007,I,2289
164310845,3111507,I,2284
164310845,3129509,I,2283
164310845,3168101,I,2287
164310845,3149200,I,2288
164310845,3149804,I,2285
164310845,3153004,I,2286
1643108A,3104007,I,3024
1643108A,3111507,I,3019
1643108A,3129509,I,3018
1643108A,3149200,I,3023
1643108A,3149804,I,3020
1643108A,3153004,I,3021
1643108A,3168101,I,3022
164310943,3104007,I,2786
164310943,3111507,I,2781
164310943,3168101,I,2784
164310943,3149804,I,2782
164310943,3153004,I,2783
164310943,3129509,I,2780
164310943,3149200,I,2785
1643109B,3104007,I,2408
1643109B,3111507,I,2403
1643109B,3129509,I,2402
1643109B,3168101,I,2406
1643109B,3149200,I,2407
1643109B,3149804,I,2404
1643109B,3153004,I,2405
164311043,3104007,I,3017
164311043,3111507,I,3012
164311043,3129509,I,3011
164311043,3149200,I,3016
164311043,3149804,I,3013
164311043,3153004,I,3014
164311043,3168101,I,3015
164311045,3104007,I,2282
164311045,3111507,I,2277
164311045,3129509,I,2276
164311045,3149200,I,2281
164311045,3149804,I,2278
164311045,3153004,I,2279
164311045,3168101,I,2280
164311143,3104007,I,3031
164311143,3111507,I,3026
164311143,3129509,I,3025
164311143,3149200,I,3030
164311143,3149804,I,3027
164311143,3153004,I,3028
164311143,3168101,I,3029
164311145,3104007,I,2765
164311145,3111507,I,2760
164311145,3129509,I,2759
164311145,3149200,I,2764
164311145,3149804,I,2761
164311145,3153004,I,2762
164311145,3168101,I,2763
164311245,3104007,I,2758
164311245,3111507,I,2753
164311245,3129509,I,2752
164311245,3149200,I,2757
164311245,3149804,I,2754
164311245,3153004,I,2755
164311245,3168101,I,2756
164320143,3104007,I,2520
164320143,3111507,I,2515
164320143,3129509,I,2514
164320143,3149200,I,2519
164320143,3149804,I,2516
164320143,3153004,I,2517
164320143,3168101,I,2518
164320145,3104007,I,2849
164320145,3111507,I,2844
164320145,3129509,I,2843
164320145,3149200,I,2848
164320145,3149804,I,2845
164320145,3153004,I,2846
164320145,3168101,I,2847
164340143,3104007,I,2450
164340143,3111507,I,2445
164340143,3129509,I,2444
164340143,3149200,I,2449
164340143,3149804,I,2446
164340143,3153004,I,2447
164340143,3168101,I,2448
1643401A3,3104007,I,2394
1643401A3,3111507,I,2389
1643401A3,3129509,I,2388
1643401A3,3149200,I,2393
1643401A3,3149804,I,2390
1643401A3,3153004,I,2391
1643401A3,3168101,I,2392
164340243,3104007,I,2877
164340243,3111507,I,2872
164340243,3129509,I,2871
164340243,3149200,I,2876
164340243,3149804,I,2873
164340243,3153004,I,2874
164340243,3168101,I,2875
164340245,3104007,I,2380
164340245,3111507,I,2375
164340245,3129509,I,2374
164340245,3149200,I,2379
164340245,3149804,I,2376
164340245,3153004,I,2377
164340245,3168101,I,2378
1643402A3,3104007,I,2933
1643402A3,3111507,I,2928
1643402A3,3129509,I,2927
1643402A3,3149200,I,2932
1643402A3,3149804,I,2929
1643402A3,3153004,I,2930
1643402A3,3168101,I,2931
1643402B,3104007,I,2373
1643402B,3111507,I,2368
1643402B,3129509,I,2367
1643402B,3149200,I,2372
1643402B,3149804,I,2369
1643402B,3153004,I,2370
1643402B,3168101,I,2371
164340345,3104007,I,2681
164340345,3111507,I,2676
164340345,3129509,I,2675
164340345,3149200,I,2680
164340345,3149804,I,2677
164340345,3153004,I,2678
164340345,3168101,I,2679
1643403A,3104007,I,2667
1643403A,3111507,I,2662
1643403A,3129509,I,2661
1643403A,3149200,I,2666
1643403A,3149804,I,2663
1643403A,3153004,I,2664
1643403A,3168101,I,2665
1643403B,3104007,I,2506
1643403B,3111507,I,2501
1643403B,3129509,I,2500
1643403B,3149200,I,2505
1643403B,3149804,I,2502
1643403B,3153004,I,2503
1643403B,3168101,I,2504
164340443,3104007,I,2653
164340443,3111507,I,2648
164340443,3129509,I,2647
164340443,3149200,I,2652
164340443,3149804,I,2649
164340443,3153004,I,2650
164340443,3168101,I,2651
164340445,3104007,I,2814
164340445,3111507,I,2809
164340445,3129509,I,2808
164340445,3149200,I,2813
164340445,3149804,I,2810
164340445,3153004,I,2811
164340445,3168101,I,2812
1643404A,3104007,I,2422
1643404A,3111507,I,2417
1643404A,3153004,I,2419
1643404A,3168101,I,2420
1643404A,3129509,I,2416
1643404A,3149200,I,2421
1643404A,3149804,I,2418
1643404B,3104007,I,2233
1643404B,3111507,I,2228
1643404B,3129509,I,2227
1643404B,3149200,I,2232
1643404B,3149804,I,2229
1643404B,3153004,I,2230
1643404B,3168101,I,2231
1643404D,3104007,I,2443
1643404D,3111507,I,2438
1643404D,3129509,I,2437
1643404D,3149200,I,2442
1643404D,3149804,I,2439
1643404D,3153004,I,2440
1643404D,3168101,I,2441
164340543,3104007,I,2905
164340543,3111507,I,2900
164340543,3129509,I,2899
164340543,3149200,I,2904
164340543,3149804,I,2901
164340543,3153004,I,2902
164340543,3168101,I,2903
164340545,3104007,I,2541
164340545,3149804,I,2537
164340545,3153004,I,2538
164340545,3168101,I,2539
164340545,3111507,I,2536
164340545,3129509,I,2535
164340545,3149200,I,2540
164340561,3104007,I,2534
164340561,3111507,I,2529
164340561,3129509,I,2528
164340561,3149200,I,2533
164340561,3149804,I,2530
164340561,3153004,I,2531
164340561,3168101,I,2532
1643405A,3104007,I,2793
1643405A,3111507,I,2788
1643405A,3129509,I,2787
1643405A,3149200,I,2792
1643405A,3149804,I,2789
1643405A,3153004,I,2790
1643405A,3168101,I,2791
1643405B,3104007,I,2695
1643405B,3111507,I,2690
1643405B,3129509,I,2689
1643405B,3149200,I,2694
1643405B,3149804,I,2691
1643405B,3153004,I,2692
1643405B,3168101,I,2693
164340643,3104007,I,2268
164340643,3111507,I,2263
164340643,3129509,I,2262
164340643,3149200,I,2267
164340643,3149804,I,2264
164340643,3153004,I,2265
164340643,3168101,I,2266
164340645,3104007,I,2485
164340645,3149804,I,2481
164340645,3153004,I,2482
164340645,3168101,I,2483
164340645,3111507,I,2480
164340645,3129509,I,2479
164340645,3149200,I,2484
164340661,3104007,I,2975
164340661,3111507,I,2970
164340661,3129509,I,2969
164340661,3149200,I,2974
164340661,3149804,I,2971
164340661,3153004,I,2972
164340661,3168101,I,2973
1643406A,3104007,I,2751
1643406A,3111507,I,2746
1643406A,3129509,I,2745
1643406A,3149200,I,2750
1643406A,3149804,I,2747
1643406A,3153004,I,2748
1643406A,3168101,I,2749
1643406A2,3104007,I,2576
1643406A2,3111507,I,2571
1643406A2,3129509,I,2570
1643406A2,3149200,I,2575
1643406A2,3149804,I,2572
1643406A2,3153004,I,2573
1643406A2,3168101,I,2574
1643406B2,3104007,I,2912
1643406B2,3111507,I,2907
1643406B2,3129509,I,2906
1643406B2,3149200,I,2911
1643406B2,3149804,I,2908
1643406B2,3153004,I,2909
1643406B2,3168101,I,2910
1643406B3,3104007,I,2254
1643406B3,3111507,I,2249
1643406B3,3129509,I,2248
1643406B3,3149200,I,2253
1643406B3,3149804,I,2250
1643406B3,3153004,I,2251
1643406B3,3168101,I,2252
164340743,3104007,I,2401
164340743,3111507,I,2396
164340743,3129509,I,2395
164340743,3149200,I,2400
164340743,3149804,I,2397
164340743,3153004,I,2398
164340743,3168101,I,2399
164340745,3104007,I,2296
164340745,3111507,I,2291
164340745,3129509,I,2290
164340745,3149200,I,2295
164340745,3149804,I,2292
164340745,3153004,I,2293
164340745,3168101,I,2294
1643407A,3104007,I,2569
1643407A,3111507,I,2564
1643407A,3129509,I,2563
1643407A,3149200,I,2568
1643407A,3149804,I,2565
1643407A,3153004,I,2566
1643407A,3168101,I,2567
1643407B,3104007,I,2471
1643407B,3111507,I,2466
1643407B,3129509,I,2465
1643407B,3149200,I,2470
1643407B,3149804,I,2467
1643407B,3153004,I,2468
1643407B,3168101,I,2469
1643407B2,3104007,I,2856
1643407B2,3111507,I,2851
1643407B2,3129509,I,2850
1643407B2,3149200,I,2855
1643407B2,3149804,I,2852
1643407B2,3153004,I,2853
1643407B2,3168101,I,2854
164340843,3104007,I,2513
164340843,3111507,I,2508
164340843,3129509,I,2507
164340843,3149200,I,2512
164340843,3149804,I,2509
164340843,3153004,I,2510
164340843,3168101,I,2511
164340845,3104007,I,2548
164340845,3111507,I,2543
164340845,3129509,I,2542
164340845,3149200,I,2547
164340845,3149804,I,2544
164340845,3153004,I,2545
164340845,3168101,I,2546
1643408A,3104007,I,2310
1643408A,3111507,I,2305
1643408A,3129509,I,2304
1643408A,3149200,I,2309
1643408A,3149804,I,2306
1643408A,3153004,I,2307
1643408A,3168101,I,2308
1643408A3,3104007,I,2688
