CD_PREST,CD_ESPEC,FG_PRINC,CD_CBOS,DM_IND_ATENDIMENTO,FG_PADRAO,ID_ORIGEM
164000052909,14,S,225225,T,S,24730
164000052909,75,N,225280,T,N,1309
164000055746,43,S,225265,T,S,526
164000058230,35,S,225140,T,S,527
164000065920,14,S,225225,T,S,531
164000076549,14,S,225225,T,S,535
164000084274,14,S,225225,T,S,538
164000090657,46,S,225325,T,S,542
164000094679,7,S,225120,T,S,544
164000094679,30,N,225150,T,N,24706
164000099468,45,S,225275,T,S,551
164000105654,43,S,225265,T,S,555
164000105859,48,S,225124,T,S,558
164000107959,60,S,225250,T,S,559
164000108033,51,S,225320,T,S,561
164000109803,40,N,225112,T,N,564
164000109803,38,S,225260,T,S,1334
164000113320,7,S,225120,T,S,566
164000114246,37,N,225109,T,N,569
164000114246,53,S,225285,T,S,568
164000115625,51,S,225320,T,S,570
164000118764,60,S,225250,T,S,571
164000122656,7,S,225120,T,S,24421
164000122656,74,N,225125,T,N,24704
164000123377,45,S,225275,T,S,574
164000124004,48,S,225124,T,S,575
164000124012,53,S,225285,T,S,578
164000129464,35,S,225140,T,S,580
164000130438,3,S,225151,T,S,581
164000130438,35,N,225140,T,N,583
164000146334,74,S,225125,T,S,590
164000151125,74,S,225125,T,S,594
164000151770,3,S,225151,T,S,596
164000156321,74,S,225125,T,S,600
164000157875,74,S,225125,T,S,605
164000158901,60,S,225250,T,S,607
164000158928,48,S,225124,T,S,608
164000162461,14,S,225225,T,S,610
164000162658,47,S,225305,T,S,611
164000164375,18,S,225155,T,S,612
164000164812,48,S,225124,T,S,613
164000171754,3,S,225151,T,S,615
164000180133,40,S,225112,T,S,616
164000180133,38,N,225260,T,N,1335
164000180664,74,S,225125,T,S,617
164000183469,74,N,225125,T,N,619
164000183469,21,S,225165,T,S,618
164000187561,13,S,225235,T,S,620
164000188355,60,S,225250,T,S,621
164000190449,74,S,225125,T,S,1687
164000195335,52,S,225136,T,S,628
164000195335,71,N,225105,T,N,1338
164000199330,74,S,225125,T,S,24661
164000200886,51,S,225320,T,S,632
164000209433,3,S,225151,T,S,635
164000210660,74,S,225125,T,S,636
164000211357,60,S,225250,T,S,638
164000211365,60,S,225250,T,S,640
164000211373,60,S,225250,T,S,642
164000215697,74,S,225125,T,S,645
164000216790,17,S,225135,T,S,647
164000220054,7,S,225120,T,S,648
164000222278,14,S,225225,T,S,652
