CD_TAB_PRECO;NM_TAB_PRECO;TP_TAB_PRECO;ID_ORIGEM
30000000119;DR JORGE L BELUCO UD 334 - Nenhum;3;
30000000120;DRª KARLA I C CERETTA UD 334 - Nenhum;3;
30000000121;WALDIERE M GONCALVES UD 334 - Nenhum;3;
30000000122;DR LUIZ C A SETTE UD 334 - Nenhum;3;
30000000123;DR. ASDRUBAL C DA C R UD 148 - Nenhum;3;
30000000124;CLINICA SÃO CAMILO - 635 - Nenhum;3;
30000000125;FAHECE HEMOSC - UD 198 - Nenhum;3;
30000000168;UNIDADE DE TERAP RENAL UD 613 - Nenhum;3;
30000000199;CLIN MED ESPINOSA UD 613 ATUAL - Nenhum;3;
30000000201;FALTA DESCRIÇÃO - Nenhum;3;
30000000202;FALTA DESCRIÇÃO - Nenhum;3;
30000000291;FALTA DESCRIÇÃO - Nenhum;3;
30000000301;FALTA DESCRIÇÃO - Nenhum;3;
30000000302;FALTA DESCRIÇÃO - Nenhum;3;
30000000303;FALTA DESCRIÇÃO - Nenhum;3;
30000000304;FALTA DESCRIÇÃO - Nenhum;3;
30000000305;FALTA DESCRIÇÃO - Nenhum;3;
30000000306;HOSP. APMI E N.S. APARECIDA - Nenhum;3;
30000000307;HOSP. APMI/N.S. APARECIDA 5% - Nenhum;3;
30000000311;FALTA DESCRIÇÃO - Nenhum;3;
30000000321;FALTA DESCRIÇÃO - Nenhum;3;
30000000322;FALTA DESCRIÇÃO - Nenhum;3;
30000000323;HOSP. SÃO FCO REAJ. 4,9% 2007 - Nenhum;3;
30000000332;FALTA DESCRIÇÃO - Nenhum;3;
30000000333;FALTA DESCRIÇÃO - Nenhum;3;
30000000334;FALTA DESCRIÇÃO - Nenhum;3;
30000000335;FALTA DESCRIÇÃO - Nenhum;3;
30000000336;FALTA DESCRIÇÃO - Nenhum;3;
30000000337;HOSP. SÃO BRAZ 8,89% ABRIL/07 - Nenhum;3;
30000000338;HOSP. SÃO JOSÉ UD. JARAGUÁ - Nenhum;3;
30000000339;HOSP. MAT. JARAGUÁ UD. JARAGUÁ - Nenhum;3;
30000000342;FALTA DESCRIÇÃO - Nenhum;3;
30000000343;PODE SER UTILIZADA(EXC. H. SP) - Nenhum;3;
30000000401;FALTA DESCRIÇÃO - Nenhum;3;
30000000402;FALTA DESCRIÇÃO - Nenhum;3;
30000000403;HOSP. STA CRUZ 7% 16/12/06 - Nenhum;3;
30000000404;FALTA DESCRIÇÃO - Nenhum;3;
30000000405;HOSP. TRÊS BARRAS 7% 12/12/06 - Nenhum;3;
30000000406;MAT.DONA CAT.KUSS NÍVEL4 AHESC - Nenhum;3;
30000000407;HOSP.MUNIC. STO ANTONIO UD 634 - Nenhum;3;
30000000411;FALTA DESCRIÇÃO - Nenhum;3;
30000000412;FALTA DESCRIÇÃO - Nenhum;3;
30000000413;FALTA DESCRIÇÃO - Nenhum;3;
30000000422;FALTA DESCRIÇÃO - Nenhum;3;
30000000423;FALTA DESCRIÇÃO - Nenhum;3;
30000000424;FALTA DESCRIÇÃO - Nenhum;3;
30000000425;FALTA DESCRIÇÃO - Nenhum;3;
30000000426;FALTA DESCRIÇÃO - Nenhum;3;
30000000427;FALTA DESCRIÇÃO - Nenhum;3;
30000000428;FALTA DESCRIÇÃO - Nenhum;3;
30000000429;HOSP.SÃO ROQUE 40046 4,9% 2007 - Nenhum;3;
30000000430;HOSP. 627 NÍVEL 4 3,51% 2007 - Nenhum;3;
30000000431;HOSP. SÃO PEDRO 40043 3,51% 07 - Nenhum;3;
30000000432;HOSP.STA MARIA/SÃO LUCAS 4,78% - Nenhum;3;
30000000433;HOSP SANTA MARIA E SÃO LUCAS - Nenhum;3;
30000000443;HOSP. F BRUNO, NS APAREC.5,76% - Nenhum;3;
30000000501;FALTA DESCRIÇÃO - Nenhum;3;
30000000505;FALTA DESCRIÇÃO - Nenhum;3;
30000000601;FALTA DESCRIÇÃO - Nenhum;3;
30000000602;FALTA DESCRIÇÃO - Nenhum;3;
30000000603;HOSP. SANTO ANTONIO REAJ 3,12% - Nenhum;3;
30000000604;HOSP.BOMJESUS/FUND.BITURUNA 2% - Nenhum;3;
30000000605;HOSP. MUN. STO ANTONIO UD.635 - Nenhum;3;
30000000606;FALTA DESCRIÇÃO - Nenhum;3;
30000000607;SOC. HOSP. BOM JESUS UD. 635 - Nenhum;3;
30000000608;HOSPITAL SÃO SEBASTIÃO UD. 635 - Nenhum;3;
30000000609;HOSPITAL BOM JESUS - Nenhum;3;
30000000611;FALTA DESCRIÇÃO - Nenhum;3;
30000000615;FALTA DESCRIÇÃO - Nenhum;3;
30000000622;FALTA DESCRIÇÃO - Nenhum;3;
30000000623;FALTA DESCRIÇÃO - Nenhum;3;
30000000624;FALTA DESCRIÇÃO - Nenhum;3;
30000000625;FALTA DESCRIÇÃO - Nenhum;3;
30000000626;FALTA DESCRIÇÃO - Nenhum;3;
30000000627;FALTA DESCRIÇÃO - Nenhum;3;
30000000628;FALTA DESCRIÇÃO - Nenhum;3;
30000000629;FALTA DESCRIÇÃO - Nenhum;3;
30000000630;HOSP. 627  NÍVEL 6 3,51% 2007 - Nenhum;3;
30000000631;HOSP.NÍVEL 6 UD. CONCÓRDIA - Nenhum;3;
30000000632;FALTA DESCRIÇÃO - Nenhum;3;
30000000633;FALTA DESCRIÇÃO - Nenhum;3;
30000000642;FALTA DESCRIÇÃO - Nenhum;3;
30000000643;HOSP. SÃO CRIST.,VARGEÃO 5,76% - Nenhum;3;
30000000999;FALTA DESCRIÇÃO - Nenhum;3;
30000006131;AIRA GLEIZE V. DOS S. BRANDELE - Nenhum;3;
30000006132;CLAUDIO ANTONIO BRIESE UD 613 - Nenhum;3;
30000006133;CESAR GASTAO FONINI - Nenhum;3;
30000006134;CLEVERSON LARA MARTINS - Nenhum;3;
30000006135;JOSE CARLOS MOMESSO - Nenhum;3;
30000006136;LIRIO BARRETO - Nenhum;3;
30000006137;LUIZ CARLOS PEREIRA - Nenhum;3;
30000006138;LUIZ CARLOS SCHAEDLER - Nenhum;3;
30000006139;LUIZ DINIZ FAGUNDES - Nenhum;3;
30000061310;MILTON NEUMANN - Nenhum;3;
30000061311;MOACIR ROCHA CARVALHO FILHO - Nenhum;3;
30000061312;VALDEMAR BENIN JUNIOR - Nenhum;3;
30000227019;QUIMIOTERAPIA UNIMED 227 - Nenhum;3;
30000250001;HOSPITAL CARIDADE - Nenhum;3;
30000250002;HOSP. JOANA DE GUSMÃO - Nenhum;3;
30000250004;HOSP. MAT. CHIQUINHA GALLOTTI - Nenhum;3;
30000250005;MAT. CARLOS CORREA - Nenhum;3;
30000250006;HOSP. SÃO FRANCISCO DE ASSIS - Nenhum;3;
30000250007;HOSP. N. SRA. CONCEIÇÃO - Nenhum;3;
30000250008;FUND. MED. TRAB. RURAL - Nenhum;3;
30000250009;CASA DE SAÚDE SÃO SEBASTIÃO - Nenhum;3;
30000250010;INST. SÃO JOSÉ LTDA - Nenhum;3;
30000250011;HOSP. MONSENHOR JOSÉ LOCKS - Nenhum;3;
30000250012;FAHECE - CEPON - Nenhum;3;
30000250013;HOSP. LARA RIBAS - Nenhum;3;
30000250014;ORTOCLINI - Nenhum;3;
30000250015;MEDCENTER - Nenhum;3;
30000250016;UROCLÍNICA - Nenhum;3;
30000250017;INST. CAT. DE ORTOPEDIA - Nenhum;3;
30000250018;CLÍNICA MÉDICA LAITANO - Nenhum;3;
30000250019;CENTRO CLI. CONTINENTE - Nenhum;3;
30000250020;BELVEDERE CLÍNICA MED. HOSP. - Nenhum;3;
30000250021;ULTRALITHO CENTRO MÉDICO - Nenhum;3;
30000250022;CLÍNICA GAMA D'EÇA - Nenhum;3;
30000250023;SOS CARDIO SERV. HOSP. - Nenhum;3;
30000250024;CINEANGIO CENTRO CARDIO. - Nenhum;3;
30000250025;GASTRO CLÍNICA FPOLIS - Nenhum;3;
30000250026;CLÍNICA JANE - Nenhum;3;
30000250027;OPHTHALMOTRAUMA - Nenhum;3;
30000250028;CLÍNICA SAINT PATRICK UD 25 - Nenhum;3;
30000250029;GERON CLÍNICA MÉDICA - Nenhum;3;
30000250030;CLÍNICA SANTA HELENA - Nenhum;3;
30000250031;INST. VISÃO ASSAD RAYES - Nenhum;3;
30000250032;CLIN. INFANTIL TIO CECIM UD25 - Nenhum;3;
30000250033;CIOFT - CENTRO INT. OFTALMO. - Nenhum;3;
30000250034;CLÍNICA DIRCKSEN - Nenhum;3;
30000250035;ENDOCENTRO - Nenhum;3;
30000250036;RESPIRAR CENTRO DE MED. RESP. - Nenhum;3;
30000250037;REVITALLE CLÍNICA MÉDICA UD 25 - Nenhum;3;
30000250038;YOUNG SOUL CIR. PLÁSTICA - Nenhum;3;
30000250039;UROMED CLIN. AP. GENITO URI. - Nenhum;3;
30000250040;NEUROGENE CLÍN. MÉDICA UD.25 - Nenhum;3;
30000250041;CLÍNICA EBENEZER - Nenhum;3;
30000250042;COTA CENTRO DE ORTOP. - Nenhum;3;
